City,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,PLZ/City,Description,Eigenschaften,Hauptangaben,Listing URL
bern,1’590.–,CHF 1’340.–,CHF 250.–,3,"72
m2","Waldmeisterstrasse 68,",3018 Bern,"Sonnige 3- Zimmer-Wohnung in Mehrfamilienhaus
Küche: Grosser freistehender Kühlschrank, Geschirrspüler, Platz für einen kleinen Tisch
Sehr ruhige Lage
Nähe Tram Nr. 7 Endstation und Einkaufsmöglichkeiten
Auf Wunsch mit Gartenanteil
2 Kellerabteile (1 Keller davon ca. 12 m2 mit Steinboden)
2 Balkone
Zimmer mit neuem Parkett","Balkon / Terrasse, Aussicht, Ruhige Lage","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3', 'Etage:': '1', 'Wohnfläche:': '72 m2', 'Letztes Renovationsjahr:': '2025'}",https://www.immoscout24.ch/mieten/4001937620
bern,1’660.–,N/A,N/A,4.5,"131
m2","Fabrikstrasse 20 A,",3012 Bern,"Im Von Roll Areal vermieten wir einen Geschäftsraum über 2 Stockwerke (EG/1.OG):
helle, offene Räume
kleine Küche im EG
2 WC
eigener Zugang
Minergie-Standard","Waschmaschine, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Altbau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': '1', 'Wohnfläche:': '131 m2'}",https://www.immoscout24.ch/mieten/4001978384
bern,1’750.–,CHF 1’595.–,CHF 155.–,3.5,N/A,"Brünnenstrasse 35,",3018 Bern-Bümpliz,"Wir vermieten per sofort oder nach Vereinbarung diese attraktive Wohnung mit folgenden Vorzügen:

- Moderne und helle Küche mit viel Stauraum
- Badezimmer mit Badewanne, Lavabo mit Unterbaumöbel
- Lichtdurchflutetes Wohnzimmer mit Zugang zum Balkon
- Parkett-und Keramikplattenböden
- Grosser verglaster Balkon mit schöner Aussicht
- Moderne Gebäudeautomation und Solaranlage für die Stromproduktion

Willkommen in Bern-Bümpliz! Die Wohnung besticht durch ihre zentrale Lage, mit vielfältigen Einkaufsmöglichkeiten und Gastronomie. Sehr gute öffentliche Verkehrsanbindung (Bus, Tram, Autobahnanschluss) Das Quartier bietet zudem zahlreiche Freizeitmöglichkeiten, von Sporteinrichtungen bis hin zu grünen Erholungszonen, die das Leben bereichern.

Der private Stromverbrauch wird mit dem Zusammenschlusses für Eigenverbrauch (ZEV), verrechnet. Dafür wird eine monatliche Akontozahlung von CHF 35.00 fällig.

Bitte beachten Sie, dass die Bilder aus Vergleichsobjekten Stammen können.

Fühlen Sie sich angesprochen? Kontaktieren Sie uns gerne, um einen Besichtigungstermin zu vereinbaren.","Kabel-TV, Aussicht, Parkplatz, Garage, Neubau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5'}",https://www.immoscout24.ch/mieten/4001977107
bern,1’690.–,CHF 1’510.–,CHF 180.–,2,"54
m2","Stadtbachstrasse 40,",3012 Bern,"Wir vermieten ab 16.06.2025 oder nach Vereinbarung eine ansprechende 2-Zimmerwohnung mit zahlreichen Annehmlichkeiten:
Parkettböden in allen Zimmern für ein warmes Ambiente
Moderne Küche mit Glaskeramikherd und Geschirrspüler für bequemes Kochen
Einladender Balkon für entspannte Stunden im Freien
Badezimmer mit Badewanne für erholsame Momente
Grosszügige Wohnfläche von 54 m²
Ideale Lage in der Nähe des Hauptbahnhofs (ca. 5 Min. Fussweg)
Für weitere Informationen oder zur Vereinbarung eines Besichtigungstermins stehen wir Ihnen gerne zur Verfügung. Rufen Sie uns an und überzeugen Sie sich selbst von diesem attraktiven Angebot!
Wir freuen uns auf Ihren Anruf und darauf, Sie bald als neuen Mieter begrüssen zu dürfen!","Balkon / Terrasse, Geschirrspüler, Kabel-TV, Aussicht, Lift","{'Verfügbarkeit:': '16.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2', 'Etage:': '1', 'Wohnfläche:': '54 m2'}",https://www.immoscout24.ch/mieten/4001956598
bern,2’420.–,CHF 2’170.–,CHF 250.–,4.5,"96
m2","Murtenstrasse 143 D,",3008 Bern,"Wir vermieten diese moderne Wohnung mit folgenden Vorzügen:

- Wohn- und Schlafzimmer mit Parkett
- Küchenbereich und Bad mit Plattenboden
- Offene Küche mit Geschirrspüler und Glaskeramikherd
- Bad mit Badewanne
- Sep. Dusche/WC im Schlafzimmer
- Reduit mit eigener Waschmaschine und Tumbler
- Praktische Wandschränke im Korridor
- Grosser sonniger Balkon
- Geräumiges Kellerabteil

Lift mit Zugang zu Einstellhalle vorhanden

In wenigen Minuten erreichen Sie den Autobahnanschluss, Uni, Insel Spital sowie die Innenstadt Bern. Öffentliche Verkehrsmittel (Zug und Bus) sind in unmittelbarer Nähe. Einkaufsmöglichkeiten, Kita, Restaurant und Fitness sogar in der Überbauung.

Der Garten im Innenhof steht zur Mitbenützung zur Verfügung.","Balkon / Terrasse, Rollstuhlgängig","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': '3', 'Wohnfläche:': '96 m2', 'Baujahr:': '2013'}",https://www.immoscout24.ch/mieten/4001903439
bern,2’200.–,CHF 1’950.–,CHF 250.–,3.5,"85
m2","Lombachweg 32,",3006 Bern,"Zu vermieten per 1. Juni 2025 oder nach Vereinbarung:

Grosszügige und offene 3.5-Zimmerwohnung im ruhigen Elfenau-Quartier.

Die Wohnung zeichnet sich durch folgende Eigenschaften aus:

- ca. 85 m² Wohnfläche

- Eingangsbereich mit offenem Zugang ins grosse Wohnzimmer (30 m²) mit Kamin

- Küche mit viel Stauraum, kleinem Tisch, Geschirrspüler, Backofen, Glaskeramikherd, Dampfabzug, Kühlschrank, Mikrowelle, eigene Waschmaschine und Tumbler

- sep. Réduit neben Küche

- Parkettböden

- ein kleineres (12 m²) und ein grösseres (17 m²) Zimmer

- Badezimmer mit Doppellavabo, Badwanne, WC und Fenster

- grosser Balkon mit Sicht ins Grüne

- Glasfaseranschluss vorhanden

- eigenes Kellerabteil

Die Liegenschaft befindet sich im ruhigen Elfenau-Quartier umgeben von div. Botschaften. Der öffentliche Verkehr (Bus Linie 19, Bern Bahnhof -Elfenau) ist in einer Minute bequem zu Fuss erreichbar.

Bei Interesse kann ein Einstellhallenplatz für CHF 150 pro Monat dazugemietet werden.","Balkon / Terrasse, Reduit, Geschirrspüler, Waschmaschine, Cheminée, Garage, Lift","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': 'EG', 'Wohnfläche:': '85 m2'}",https://www.immoscout24.ch/mieten/4001970846
bern,2’450.–,CHF 2’200.–,CHF 250.–,3,"97
m2","Gerechtigkeitsgasse 77,",3011 Bern,"Mitten in der unteren Berner Altstadt vermieten wir eine helle und grosszügige Wohnung.
Die Wohnung im 3. Obergeschoss erhalten in der typischer Bauweise der Berner Altstadt. Im „vorderen Bereich“, Seite Gerechtigkeitsgasse befinden sich Wohn- und Schlafzimmer. Beide Räume sind hell und sehr grosszügig ausgelegt, mit antiken Parkettböden, Kachelofen und Wandvertäfelungen. Vom Wohnzimmer aus haben Sie einen herrlichen Überblick über Gerechtigkeits- und Kramgasse bis zum Zytglogge-Turm. Im „hinteren Bereich“ getrennt durch das Treppenhaus, befindet sich eine gemütliche, 2020 neu eingebaute Wohnküche (Geschirrwaschmaschine, Induktionskochfeld, Dampfgarer) mit Chemineé sowie das Badezimmer, über der Küche hat es ein weiters Zimmer in der Dachschräge mit 2 Lukarnen.
Besichtigungstermine werden individuell durchgeführt.",Altbau,"{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3', 'Etage:': '3', 'Wohnfläche:': '97 m2', 'Letztes Renovationsjahr:': '2020'}",https://www.immoscout24.ch/mieten/4001915620
bern,4’260.–,CHF 3’750.–,CHF 510.–,6.5,"147
m2","Scharnachtalstrasse 12,",3006 Bern,"Ab dem 1. April oder nach Vereinbarung können Sie diese bezaubernde 6.5-Zimmer-Wohnung an der Scharnachtalstrasse 12 in Bern Ihr neues Zuhause nennen. Mit rund 147 m² Wohnfläche im Erdgeschoss bietet die Wohnung ein einzigartiges, lichtdurchflutetes Raumgefühl und kombiniert stilvolle Eleganz mit praktischer Funktionalität. Hier finden Sie nicht nur viel Platz, sondern auch eine Wohlfühloase, die all Ihre Wünsche erfüllt.

Entdecken Sie die Highlights dieser besonderen Wohnung:

• Heller, großzügiger Wohnbereich mit edlem Parkettboden – der perfekte Ort zum Entspannen und Genießen

• Einladendes Esszimmer mit Parkettboden – ideal für gemeinsame Mahlzeiten und gemütliche Abende.

• Moderne, offene Küche mit Granitabdeckung und Geschirrspüler – ein Traum für alle, die gerne kochen

• Elegantes Badezimmer mit WC

• Praktisches separates WC mit Dusche – ideal für Gäste

• Kinderzimmer mit praktischen Einbauschränken – genügend Platz für Spiel, Kreativität und Wachstum

• Zimmer im Erdgeschoss mit direktem Zugang zur sonnigen Terrasse, Parkettboden und einem großzügigen 3er Einbauschrank – ein Raum für Ihre ganz persönlichen Ideen

• Geräumiges Schlafzimmer mit einem 3er Einbauschrank (6 Türen) – für Ihre Garderobe und mehr

• Vielseitiges zusätzliches Zimmer im Untergeschoss mit Parkettboden – ob als Homeoffice oder Hobbyraum

• Direkter Zugang zur Terrasse vom Kinderzimmer und Wohnzimmer – geniessen Sie die Sonne in Ihrem eigenen Gartenparadies

• Wunderschöner Garten mit Unterstand und Gewächshaus – ein Traum für Pflanzenliebhaber

• Keller und Estrich – ausreichend Stauraum für all Ihre Bedürfnisse

Parkmöglichkeiten: Eine Garage kann für nur Fr. 170.--/Monat dazu gemietet werden.

Leben im Elfenauquartier: Das begehrte Elfenauquartier ist nicht nur ruhig und grün, sondern auch der ideale Ort zum Entspannen und Wohlfühlen. Der wunderschöne Elfenaupark und die Aare sind direkt in der Nähe – perfekt für Spaziergänge und Freizeitaktivitäten im Freien. Einkaufsmöglichkeiten, Restaurants und Schulen sind bequem zu Fuss erreichbar, und die exzellente Anbindung an den öffentlichen Verkehr sorgt dafür, dass Sie schnell ins Stadtzentrum gelangen.

Genießen Sie das perfekte Zusammenspiel aus Natur, Ruhe und urbanem Leben. Diese Wohnung bietet alles, was Sie sich für ein Zuhause wünschen. Vereinbaren Sie noch heute einen Besichtigungstermin und lassen Sie sich von dieser einzigartigen Wohnung verzaubern!

Haben wir Ihr Interesse geweckt? Dann melden Sie sich bei uns unter der Nummer 031 377 00 00 oder an kontakt@immobene.ch.

Wir freuen uns auf Ihre Kontaktaufnahme.","Haustiere erlaubt, Balkon / Terrasse, Cheminée, Aussicht","{'Verfügbarkeit:': '01.04.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '6.5', 'Wohnfläche:': '147 m2', 'Baujahr:': '1959'}",https://www.immoscout24.ch/mieten/4001976026
bern,1’520.–,CHF 1’300.–,CHF 220.–,2,"60
m2","Muristrasse 86,",3006 Bern,"Wir vermieten per 1. Juni 2025 oder nach Vereinbarung folgende 2-Zimmerwohnung im Elfenauquartier:
- moderne, abgeschlossene Küche mit Geschirrspüler
- Bad mit Badewanne
- Parkett in Schlaf-/ und Wohnzimmer
- sonniger Balkon
- Kellerabteil vorhanden
- zentrale Lage
Haben wir Ihr Interesse geweckt? Zögern Sie nicht und vereinbaren Sie einen Besichtigungstermin.","Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Kabel-TV, Aussicht, Kinderfreundlich, Altbau","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2', 'Etage:': 'EG', 'Wohnfläche:': '60 m2', 'Letztes Renovationsjahr:': '2018'}",https://www.immoscout24.ch/mieten/4001968427
bern,2’620.–,CHF 2’242.–,CHF 378.–,4.5,"112
m2","Murtenstrasse 143 C,",3008 Bern,"Dann hat Ihre Suche hier ein Ende.

Die Wohnung mit zeitgemässen Ausbau überzeugt nicht nur durch ihre geniale Lage, sondern auch durch ihre grossen und optimal aufgeteilten Räume.

Zudem punktet sie mit folgendem Vorteilen:

Offene, geräumige Küche mit Geschirrspüler und Glaskeramikherd
Wohn- und Schlafzimmer mit Parkettböden
Küchenbereich und Bad mit Plattenboden
Reduit mit eigener Waschmaschine und Tumbler
Praktische Wandschränke im Korridor
zwei Sitzplätze

Lift mit Zugang zu Einstellhalle vorhanden

In wenigen Minuten erreichen Sie den Autobahnanschluss, Uni, Insel Spital sowie die Innenstadt Bern. Öffentliche Verkehrsmittel (Zug und Bus) sind in unmittelbarer Nähe. Einkaufsmöglichkeiten, Kita, Restaurant und Fitness sogar in der Überbauung.","Balkon / Terrasse, Aussicht","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': 'EG', 'Wohnfläche:': '112 m2', 'Baujahr:': '2013'}",https://www.immoscout24.ch/mieten/4001889490
