City,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,PLZ/City,Description,Eigenschaften,Hauptangaben,Listing URL
Zurich,1’795.–,CHF 1’615.–,CHF 180.–,2.5,"72
m2","Ludwigstr. 5,",9010 St. Gallen,"Per 01.05.2025 vermieten wir diese Top 2.5 Zimmer-Maisonettewohnung mit folgenden Vorteilen:

- Der lichtdurchflutete Wohnbereich mit hohen Decken und grossen Fenstern schafft eine einladende Atmosphäre und ermöglicht einen herrlichen Ausblick auf die umliegende Natur.
- Neuwertige und grosszügige Küche mit Induktions-Kochfeld,Backofen und Geschirrspüler
- 2 x Nasszellen
- eigener Waschturm
- Einstellplätze à CHF 150.00/Monat verfügbar


Die Fotos entsprechen dem Standard der Liegenschaft und können vom Objekt abweichen.

Gerne zeigen wir Ihnen die Wohnung bei einem unverbindlichen Besichtigungstermin - wir freuen uns auf Ihre Kontaktaufnahme.","Kabel-TV, Kinderfreundlich, Garage, Neubau, Minergie zertifiziert, Minergie Bauweise","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Maisonette / Duplex', 'Anzahl Zimmer:': '2.5', 'Etage:': 'EG', 'Wohnfläche:': '72 m2', 'Baujahr:': '2023'}",https://www.immoscout24.ch/mieten/4001926858
Zurich,1’147.–,N/A,N/A,1,"23
m2","Merkurstrasse 1,",9000 St. Gallen,"City Pop - Die flexible Lösung für kurze und lange Aufenthalte, die Ihnen ein Gefühl von Zuhause vermittelt.
Neu eröffnet! Ab dem 27.02. bieten wir zentral gelegene Apartments an der Merkurstrasse 1 in San Gallen an, die zwischen 23 und 70 Quadratmeter groß sind. Ab 265 CHF/Woche können Sie aus verschiedenen Pop-Typen wählen: L Deluxe, XL Deluxe, XXL.
Die beigefügten Bilder stammen aus anderen City Pop Apartments und sind als repräsentativ zu betrachten. Die Möblierung ist gleich, der Layout könnte variieren.
Diese möblierten Apartments bieten ein authentisches Wohnerlebnis. Da die Bauarbeiten noch im Gange sind, stehen uns noch keine Originalfotos zur Verfügung.
So buchen Sie Ihr Apartment: Laden Sie einfach unsere App herunter:
Für iOS: Suchen Sie nach City Pop im App Store.
Für Android: Suchen Sie nach City Pop im Google Play Store.
Nach der Installation der App erstellen Sie ein Konto und navigieren Sie zum Suchbereich. Folgen Sie diesen Schritten:
Wählen Sie ""Suchen und Jetzt Buchen!""
Wählen Sie Baden als Ihre Stadt
Setzen Sie Ihre gewünschten Check-in- und Check-out-Daten
Die Apartments sind vollständig ausgestattet, einschließlich:
Küche, Wohnzimmer, Schlafzimmer und Bad
Vollständiges Inventar für die Küche (Teller, Gläser, Töpfe usw.)
Schlafbereich und Bad (mit Handtuchset)
Nebenkosten inklusive
Wi-Fi und Smart TV
Die Pop Apartments können für einen Mindestzeitraum von 4 Wochen gebucht werden. Zudem wird eine breite Palette von Standard- und Zusatzdiensten verfügbar sein, die über die City Pop App aktiviert werden können, darunter:
Reinigungsservice (wöchentlich, zweiwöchentlich)
Parkplatz
Das Gebäude wird auch über fantastische Gemeinschaftsräume verfügen, darunter:
Co-living
Es ist so einfach wie ein Hotelzimmer zu buchen! Die Reservierungen sind jetzt geöffnet! Worauf wartest du noch? Buche jetzt deinen Aufenthalt an der Merkurstrasse 1 in San Gallen!
Wenn Sie Fragen haben oder weitere Informationen benötigen, zögern Sie bitte nicht, uns unter contact.ch@citypop.com zu kontaktieren. Unser Team steht Ihnen gerne zur Verfügung.
City Pop - The flexible solution for short and long stays that makes you feel at home.
Newly opened! Starting from February 27, we offer centrally located apartments at Merkurstrasse 1 in San gallen, ranging from 23 to 70 square meters. Starting at 265 CHF/week, you can choose from various Pop types: L Deluxe, XL Deluxe, XXL.
The attached images are from other City Pop apartments and are to be considered representative. The furnishings are the same, but the layout may vary.
These furnished apartments provide an authentic living experience. As construction is still ongoing, we do not yet have original photos.
To book your apartment, simply download our app:
For iOS, search for City Pop in the App Store.
For Android, search for City Pop in the Google Play Store.
Once the app is installed, create an account and navigate to the search section. Follow these steps:
Select ""Search and Book Now!""
Choose Baden as your city
Set your desired check-in and check-out dates
The apartments are fully equipped, including:
Kitchen, living room, bedroom, and bathroom
Complete kitchen inventory (plates, glasses, pots, etc.)
Sleeping area and bathroom (with towel set)
All utilities included
Wi-Fi and Smart TV
Pop apartments can be booked for a minimum period of 4 weeks. Additionally, a wide range of standard and additional services will be available, activated via the City Pop app, including:
Cleaning service (weekly, bi-weekly)
Parking
The building will also feature fantastic communal spaces, including:
Co-living
It's as simple as booking a hotel room! Reservations are now open! What are you waiting for? Book your stay at Merkurstrasse 1 in San gallen now!
If you have any questions or need further information, please do not hesitate to contact us at contact.ch@citypop.com. Our team is here to assist you.
4","Geschirrspüler, Ruhige Lage, Garage, Lift","{'Verfügbarkeit:': '27.03.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '1', 'Wohnfläche:': '23 m2', 'Letztes Renovationsjahr:': '2024'}",https://www.immoscout24.ch/mieten/4001792186
Zurich,1’170.–,N/A,N/A,2,N/A,"Buchentalstrasse 17,",9000 St. Gallen,"+++ Modern möblierte Singel-Wohnung +++
Das Studio (2 Zimmer Apartment) ist für eine Einzelperson geeignet, die z.B. als Wochenaufenthalter an der HSG studiert oder am Kantonsspital in St. Gallen arbeitet.
Die Wohnung ist mit ausgewählten, modernen Möbeln komplett eingerichtet und ab September 2025 bezugsbereit.
Besonderheit: Mietzins ist inkl. NK
Noch ein paar Highlights:
modern möbliert
In einem ruhigen und gepflegten Mehrfamilienhaus mit schönem Garten und Gartensitzplatz
sehr guter Anschluss an alle Verkehrsmittel (Bus, Bahn, Autobahn)",,"{'Verfügbarkeit:': '01.09.2025', 'Objekttyp:': 'Studio', 'Anzahl Zimmer:': '2', 'Etage:': 'EG'}",https://www.immoscout24.ch/mieten/4001996900
Zurich,1’540.–,CHF 1’300.–,CHF 240.–,3.5,"75
m2","Zilstrasse 12a,",9016 St. Gallen,"In einem ruhigen Quartier im Osten der Stadt haben wir eine helle und sonnige Wohnung zu vermieten, welche Ihnen folgenden Ausbaustandart bietet:

- Küche mit Geschirrspüler und Glaskeramikherd
- helles Bad/WC
- ganze Wohnung mit Parkett/Platten
- Einbauschrank
- überdachter, gemütlicher Balkon

Beim Grundriss handelt es sich um die orange Wohnung auf der rechten Seite mit der Nummer 0146.

Ein Aussenparkplatz für CHF 60.00 pro Monat kann auf Wunsch dazu gemietet werden.

Die Wohnung besticht durch Ihre gute Lage nahe dem Erholungsgebiet Zil. Der Autobahnanschluss St. Gallen Neudorf befindet sich in nächster Nähe und das Stadtzentrum ist mit den öffentlichen Verkehrsmitteln in ca. 15 Minuten erreichbar.

Überzeugen Sie sich bei einem Besichtigungstermin selbst.
Wir freuen uns auf Ihre Kontaktaufnahme!

Bitte beachten Sie, dass es sich bei den Fotos um Musterfotos handelt, welche ein wenig abweichen können. Besten Dank für Ihr Verständnis.","Balkon / Terrasse, Stromanschluss, Wasseranschluss","{'Verfügbarkeit:': '16.05.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '1', 'Wohnfläche:': '75 m2'}",https://www.immoscout24.ch/mieten/4001949087
Zurich,1’996.–,CHF 1’786.–,CHF 210.–,2.5,"76
m2","Zweibruggenmühlestrasse 13,",9014 St. Gallen,"An ruhiger und idyllischer Lage vermieten wir diese top ausgestattete Wohnung im 11. OG mit folgenden Vorteilen:

- Lichtdurchflutete Räume
- Schöner Parkettboden im Wohnbereich und Schlafzimmer
- Moderne Keramikplatten in Küche und Nasszellen
- Neuwertige und grosszügige offene Küche mit Glaskeramik, hochliegendem Backofen, Geschirrspüler und Kochinsel
- Bad mit Doppellavabo, Badewanne, WC und Dusche
- Eigene Waschmaschine/Tumbler in der Wohnung
- 2 sonnige und grosse Terrassen

- Kinderfreundliche Überbauung im Grünen
- Bushaltestelle vor der Haustüre

- Wohnung ist verfügbar nach Vereinbarung
- Einstellplatz für CHF 135.00 pro Monat verfügbar

Gern zeigen wir Ihnen die Wohnung bei einem unverbindlichen Besichtigungstermin - wir freuen uns auf Ihren Anruf!

Die Bilder zeigen den Standard der Liegenschaft und können vom Objekt leicht abweichen.","Haustiere erlaubt, Kabel-TV, Kinderfreundlich, Garage, Lift","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Attikawohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': '11', 'Wohnfläche:': '76 m2', 'Baujahr:': '2012'}",https://www.immoscout24.ch/mieten/4001980259
Zurich,1’430.–,CHF 1’100.–,CHF 330.–,4,"86
m2","Rorschacherstr. 221,",9000 St. Gallen,"Diese charmante Dachwohnung überzeugt mit einer zentralen Lage in St. Gallen. Die Wohnung ist auch ideal als Wohngemeinschaft geeignet.

Details:
- moderne Küche mit Steinabdeckung, Glaskeramikherd und Geschirrspüler
- helles Bad/WC mit Fenster
- grosszügige und helle Zimmer
- schöner Laminat im Parkettlook in allen Wohn-/Schlafzimmer
- Küche und Bad mit Plattenbelägen
- Einbauschränke im Korridor

Kein Balkon
Kein Lift im Haus

Abstellplätze sind zur Zeit keine verfügbar. 

Lage:
Von der Liegenschaft aus erreichen Sie in Kürze diverse Geschäfte für den täglichen Bedarf. Die Bushaltestelle ist direkt vor der Tür und auch der Anschluss zur Stadtautobahn ist nur ein Katzensprung entfernt.

Interessiert? Rufen Sie uns an! Wir freuen uns auf Ihren Anruf.","Aussicht, Stromanschluss, Wasseranschluss, Abwasseranschluss","{'Verfügbarkeit:': '01.05.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4', 'Etage:': '3', 'Wohnfläche:': '86 m2', 'Letztes Renovationsjahr:': '1991', 'Baujahr:': '1941'}",https://www.immoscout24.ch/mieten/4001921131
Zurich,1’945.–,CHF 1’745.–,CHF 200.–,3.5,"80
m2","Buchwaldstrasse 4,",9008 St. Gallen,"An einer verkehrsberuhigten und grünen Lage bietet die Überbauung hochwertige Wohnungen mit grosszügigen Grundrissen und modernster Ausstattung. Hier geniessen Sie ein entspanntes Wohngefühl inmitten einer der attraktivsten Wohngegenden der Stadt.

Die Wohnungen sind für Kleinfamilien, Paare und Singles konzipiert.

***Gerne laden wir Sie zu unserem Tag der offenen Tür ein!***
***Tag der offenen Tür am 29. März 2025 von 10.30 - 13.00 Uhr***

Die Liegenschaft verfügt über:
- 8x 3.5 Zimmer Wohnungen (77 bis 97 m2)
- 3x 2.5 Zimmer Wohnungen (52 bis 66 m2)

Die Wohnungen überzeugen mit:
- Sanierungsjahr 2025
- Eichenparkett in allen Räumen
- Halboffene Küche mit neuen Gerätschaften von Miele
- Kombigerät Waschmaschine / Tumbler in Küche
- Nasszelle (mit DU/WC, Doppellavabo und Fenster)
- Fussbodenheizung pro Zimmer regulierbar
- Privater Aussenbereich in Form eines Sitzplatzes oder Balkons (ausser Dachgeschoss)
- Eigenes Kellerabteil mit Steckdose im Dachgeschoss / Keller

Die Liegenschaft verfügt über vier Aussenabstellplätze à CHF 80.- / Monat. oder eine Einzelgarage à CHF 130.- / Monat.
Das Mehrfamilienhaus hat keinen Lift.

Für weitere Informationen laden wir Sie ein unsere Homepage zu besuchen: https://www.buchwaldstrasse.ch/

Haben wir Ihr Interesse geweckt?
Ich freue mich auf Ihre Kontaktaufnahme.","Balkon / Terrasse, Aussicht","{'Verfügbarkeit:': '01.04.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '1', 'Wohnfläche:': '80 m2'}",https://www.immoscout24.ch/mieten/4001650914
Zurich,2’145.–,CHF 1’915.–,CHF 230.–,3.5,"92
m2","Buchwaldstrasse 4,",9008 St. Gallen,"An einer verkehrsberuhigten und grünen Lage bietet die Überbauung hochwertige Wohnungen mit grosszügigen Grundrissen und modernster Ausstattung. Hier geniessen Sie ein entspanntes Wohngefühl inmitten einer der attraktivsten Wohngegenden der Stadt.

Die Wohnungen sind für Kleinfamilien, Paare und Singles konzipiert.

***Gerne laden wir Sie zu unserem Tag der offenen Tür ein!***
***Tag der offenen Tür am 29. März 2025 von 10.30 - 13.00 Uhr***

Die Liegenschaft verfügt über:
- 8x 3.5 Zimmer Wohnungen (77 bis 97 m2)
- 3x 2.5 Zimmer Wohnungen (52 bis 66 m2)

Die Wohnungen überzeugen mit:
- Sanierungsjahr 2025
- Eichenparkett in allen Räumen
- Halboffene Küche mit neuen Gerätschaften von Miele
- Kombigerät Waschmaschine / Tumbler in Küche
- Nasszelle (mit DU/WC, Doppellavabo und Fenster)
- Fussbodenheizung pro Zimmer regulierbar
- Privater Aussenbereich in Form eines Sitzplatzes oder Balkons (ausser Dachgeschoss)
- Eigenes Kellerabteil mit Steckdose im Dachgeschoss / Keller

Die Liegenschaft verfügt über vier Aussenabstellplätze à CHF 80.- / Monat. oder eine Einzelgarage à CHF 130.- / Monat.
Das Mehrfamilienhaus hat keinen Lift.

Für weitere Informationen laden wir Sie ein unsere Homepage zu besuchen: https://www.buchwaldstrasse.ch/

Haben wir Ihr Interesse geweckt?
Ich freue mich auf Ihre Kontaktaufnahme.","Balkon / Terrasse, Aussicht","{'Verfügbarkeit:': '01.04.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '2', 'Wohnfläche:': '92 m2'}",https://www.immoscout24.ch/mieten/4001650912
Zurich,2’145.–,CHF 1’745.–,CHF 400.–,3.5,"112
m2","Bankgasse 12,",9000 St. Gallen,"zu vermieten im Klosterviertel per 01. April 2025 oder nach Vereinbarung:
- grosse helle 3.5-Zimmer-Wohnung im 2. OG
Folgendes kann Ihnen die Wohnung anbieten:
- lichtdurchflutetes Wohnzimmer mit grosser offener Küche
- grosses Bad mit Fenster
- Dusche/WC mit Fenster
- eigener Waschturm im Bad
- kleiner Balkon im Elternschlafzimmer
- Diele im Korridor 
- schöne Dachterrasse zur Mitbenutzung
Eine Besichtigung lohnt sich auf jeden Fall.","Balkon / Terrasse, Geschirrspüler, Waschmaschine, Kabel-TV, Lift","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '2', 'Anzahl Etagen:': '6', 'Wohnfläche:': '112 m2'}",https://www.immoscout24.ch/mieten/4001905598
Zurich,1’495.–,CHF 1’355.–,CHF 140.–,2.5,"52
m2","Buchwaldstrasse 4,",9008 St. Gallen,"An einer verkehrsberuhigten und grünen Lage bietet die Überbauung hochwertige Wohnungen mit grosszügigen Grundrissen und modernster Ausstattung. Hier geniessen Sie ein entspanntes Wohngefühl inmitten einer der attraktivsten Wohngegenden der Stadt.

Die Wohnungen sind für Kleinfamilien, Paare und Singles konzipiert.

***Gerne laden wir Sie zu unserem Tag der offenen Tür ein!***
***Tag der offenen Tür am 29. März 2025 von 10.30 - 13.00 Uhr***

Die Liegenschaft verfügt über:
- 8x 3.5 Zimmer Wohnungen (77 bis 97 m2)
- 3x 2.5 Zimmer Wohnungen (52 bis 66 m2)

Diese Gartenwohnung überzeugt mit:
- Sanierungsjahr 2025
- Eichenparkett in allen Räumen
- Halboffene Küche mit neuen Gerätschaften von Miele
- Kombigerät Waschmaschine / Tumbler in Küche
- Nasszelle (mit DU/WC, Doppellavabo und Fenster)
- Fussbodenheizung pro Zimmer regulierbar
- Privater Aussenbereich in Form eines Balkons
- Eigenes Kellerabteil mit Steckdose im Dachgeschoss / Keller

Die Liegenschaft verfügt über vier Aussenabstellplätze à CHF 80.- / Monat. oder eine Einzelgarage à CHF 130.- / Monat.
Das Mehrfamilienhaus hat keinen Lift.

Für weitere Informationen laden wir Sie ein unsere Homepage zu besuchen: https://www.buchwaldstrasse.ch/

Haben wir Ihr Interesse geweckt?
Ich freue mich auf Ihre Kontaktaufnahme.","Balkon / Terrasse, Aussicht","{'Verfügbarkeit:': '01.04.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': 'EG', 'Wohnfläche:': '52 m2'}",https://www.immoscout24.ch/mieten/4001956392
