Ortschaftsname;PLZ;Gemeindename;BFS-Nr;Kantonskürzel;Gültig ab
Aeugst am Albis;8914;Aeugst am Albis;1;ZH;01.01.2025
Aeugstertal;8914;Aeugst am Albis;1;ZH;01.01.2025
Zwillikon;8909;Affoltern am Albis;2;ZH;01.01.2025
Affoltern am Albis;8910;Affoltern am Albis;2;ZH;01.01.2025
Bonstetten;8906;Bonstetten;3;ZH;01.01.2025
Sihlbrugg;6340;Hausen am Albis;4;ZH;01.01.2025
Langnau am Albis;8135;Hausen am Albis;4;ZH;01.01.2025
Hausen am Albis;8915;Hausen am Albis;4;ZH;01.01.2025
Ebertswil;8925;Hausen am Albis;4;ZH;01.01.2025
Hedingen;8908;Hedingen;5;ZH;01.01.2025
Kappel am Albis;8926;Kappel am Albis;6;ZH;01.01.2025
Hauptikon;8926;Kappel am Albis;6;ZH;01.01.2025
Uerzlikon;8926;Kappel am Albis;6;ZH;01.01.2025
Knonau;8934;Knonau;7;ZH;01.01.2025
Maschwanden;8933;Maschwanden;8;ZH;01.01.2025
Mettmenstetten;8932;Mettmenstetten;9;ZH;01.01.2025
Affoltern am Albis;8910;Obfelden;10;ZH;01.01.2025
Obfelden;8912;Obfelden;10;ZH;01.01.2025
Ottenbach;8913;Ottenbach;11;ZH;01.01.2025
Rifferswil;8911;Rifferswil;12;ZH;01.01.2025
Adliswil;8134;Stallikon;13;ZH;01.01.2025
Stallikon;8143;Stallikon;13;ZH;01.01.2025
Uetliberg;8143;Stallikon;13;ZH;01.01.2025
Wettswil;8907;Wettswil am Albis;14;ZH;01.01.2025
Benken ZH;8463;Benken (ZH);22;ZH;01.01.2025
Berg am Irchel;8415;Berg am Irchel;23;ZH;01.01.2025
Gräslikon;8415;Berg am Irchel;23;ZH;01.01.2025
Buch am Irchel;8414;Buch am Irchel;24;ZH;01.01.2025
Dachsen;8447;Dachsen;25;ZH;01.01.2025
Dorf;8458;Dorf;26;ZH;01.01.2025
Feuerthalen;8245;Feuerthalen;27;ZH;01.01.2025
Langwiesen;8246;Feuerthalen;27;ZH;01.01.2025
Flaach;8416;Flaach;28;ZH;01.01.2025
Flurlingen;8247;Flurlingen;29;ZH;01.01.2025
Henggart;8444;Henggart;31;ZH;01.01.2025
Kleinandelfingen;8451;Kleinandelfingen;33;ZH;01.01.2025
Alten;8453;Kleinandelfingen;33;ZH;01.01.2025
Oerlingen;8461;Kleinandelfingen;33;ZH;01.01.2025
Nohl;8212;Laufen-Uhwiesen;34;ZH;01.01.2025
Uhwiesen;8248;Laufen-Uhwiesen;34;ZH;01.01.2025
Dachsen;8447;Laufen-Uhwiesen;34;ZH;01.01.2025
Marthalen;8460;Marthalen;35;ZH;01.01.2025
Ellikon am Rhein;8464;Marthalen;35;ZH;01.01.2025
Trüllikon;8466;Ossingen;37;ZH;01.01.2025
Ossingen;8475;Ossingen;37;ZH;01.01.2025
Rheinau;8462;Rheinau;38;ZH;01.01.2025
Ellikon am Rhein;8464;Rheinau;38;ZH;01.01.2025
Thalheim an der Thur;8478;Thalheim an der Thur;39;ZH;01.01.2025
Rudolfingen;8465;Trüllikon;40;ZH;01.01.2025
Wildensbuch;8465;Trüllikon;40;ZH;01.01.2025
Trüllikon;8466;Trüllikon;40;ZH;01.01.2025
Truttikon;8467;Truttikon;41;ZH;01.01.2025
Volken;8459;Volken;43;ZH;01.01.2025
Bülach;8180;Bachenbülach;51;ZH;01.01.2025
Bachenbülach;8184;Bachenbülach;51;ZH;01.01.2025
Bassersdorf;8303;Bassersdorf;52;ZH;01.01.2025
Bülach;8180;Bülach;53;ZH;01.01.2025
Glattfelden;8192;Bülach;53;ZH;01.01.2025
Dietlikon;8305;Dietlikon;54;ZH;01.01.2025
Dübendorf;8600;Dietlikon;54;ZH;01.01.2025
Eglisau;8193;Eglisau;55;ZH;01.01.2025
Rafz;8197;Eglisau;55;ZH;01.01.2025
Embrach;8424;Embrach;56;ZH;01.01.2025
Freienstein;8427;Freienstein-Teufen;57;ZH;01.01.2025
Teufen ZH;8428;Freienstein-Teufen;57;ZH;01.01.2025
Glattfelden;8192;Glattfelden;58;ZH;01.01.2025
Zweidlen;8192;Glattfelden;58;ZH;01.01.2025
Eglisau;8193;Glattfelden;58;ZH;01.01.2025
Hochfelden;8182;Hochfelden;59;ZH;01.01.2025
Glattfelden;8192;Hochfelden;59;ZH;01.01.2025
Höri;8181;Höri;60;ZH;01.01.2025
Hüntwangen;8194;Hüntwangen;61;ZH;01.01.2025
Kloten;8302;Kloten;62;ZH;01.01.2025
Nürensdorf;8309;Kloten;62;ZH;01.01.2025
Lufingen;8426;Lufingen;63;ZH;01.01.2025
Nürensdorf;8309;Nürensdorf;64;ZH;01.01.2025
Oberembrach;8425;Oberembrach;65;ZH;01.01.2025
Zürich;8052;Opfikon;66;ZH;01.01.2025
Glattbrugg;8152;Opfikon;66;ZH;01.01.2025
Opfikon;8152;Opfikon;66;ZH;01.01.2025
Glattpark (Opfikon);8152;Opfikon;66;ZH;01.01.2025
Rafz;8197;Rafz;67;ZH;01.01.2025
Rorbas;8427;Rorbas;68;ZH;01.01.2025
Teufen ZH;8428;Rorbas;68;ZH;01.01.2025
Wallisellen;8304;Wallisellen;69;ZH;01.01.2025
Wasterkingen;8195;Wasterkingen;70;ZH;01.01.2025
Wil ZH;8196;Wasterkingen;70;ZH;01.01.2025
Wil ZH;8196;Wil (ZH);71;ZH;01.01.2025
Rafz;8197;Wil (ZH);71;ZH;01.01.2025
Bülach;8180;Winkel;72;ZH;01.01.2025
Winkel;8185;Winkel;72;ZH;01.01.2025
Bachs;8164;Bachs;81;ZH;01.01.2025
Boppelsen;8113;Boppelsen;82;ZH;01.01.2025
Regensberg;8158;Boppelsen;82;ZH;01.01.2025
Buchs ZH;8107;Buchs (ZH);83;ZH;01.01.2025
Dällikon;8108;Dällikon;84;ZH;01.01.2025
Dänikon ZH;8114;Dänikon;85;ZH;01.01.2025
Dielsdorf;8157;Dielsdorf;86;ZH;01.01.2025
Hüttikon;8115;Hüttikon;87;ZH;01.01.2025
Steinmaur;8162;Neerach;88;ZH;01.01.2025
Bachs;8164;Neerach;88;ZH;01.01.2025
Neerach;8173;Neerach;88;ZH;01.01.2025
Stadel b. Niederglatt;8174;Neerach;88;ZH;01.01.2025
Niederhasli;8155;Niederglatt;89;ZH;01.01.2025
Niederglatt ZH;8172;Niederglatt;89;ZH;01.01.2025
Niederhasli;8155;Niederhasli;90;ZH;01.01.2025
Nassenwil;8155;Niederhasli;90;ZH;01.01.2025
Oberhasli;8156;Niederhasli;90;ZH;01.01.2025
Niederweningen;8166;Niederweningen;91;ZH;01.01.2025
Oberglatt ZH;8154;Oberglatt;92;ZH;01.01.2025
Siglistorf;5462;Oberweningen;93;ZH;01.01.2025
Oberweningen;8165;Oberweningen;93;ZH;01.01.2025
Buchs ZH;8107;Otelfingen;94;ZH;01.01.2025
Otelfingen;8112;Otelfingen;94;ZH;01.01.2025
Regensberg;8158;Regensberg;95;ZH;01.01.2025
Regensdorf;8105;Regensdorf;96;ZH;01.01.2025
Watt;8105;Regensdorf;96;ZH;01.01.2025
Adlikon b. Regensdorf;8106;Regensdorf;96;ZH;01.01.2025
Zürich;8052;Rümlang;97;ZH;01.01.2025
Glattbrugg;8152;Rümlang;97;ZH;01.01.2025
Rümlang;8153;Rümlang;97;ZH;01.01.2025
Schleinikon;8165;Schleinikon;98;ZH;01.01.2025
Schöfflisdorf;8165;Schöfflisdorf;99;ZH;01.01.2025
Stadel b. Niederglatt;8174;Stadel;100;ZH;01.01.2025
Windlach;8175;Stadel;100;ZH;01.01.2025
Niederhasli;8155;Steinmaur;101;ZH;01.01.2025
Steinmaur;8162;Steinmaur;101;ZH;01.01.2025
Sünikon;8162;Steinmaur;101;ZH;01.01.2025
Weiach;8187;Weiach;102;ZH;01.01.2025
Hinwil;8340;Bäretswil;111;ZH;01.01.2025
Bäretswil;8344;Bäretswil;111;ZH;01.01.2025
Adetswil;8345;Bäretswil;111;ZH;01.01.2025
Gibswil;8498;Bäretswil;111;ZH;01.01.2025
Bubikon;8608;Bubikon;112;ZH;01.01.2025
Wolfhausen;8633;Bubikon;112;ZH;01.01.2025
Hinwil;8340;Dürnten;113;ZH;01.01.2025
Bubikon;8608;Dürnten;113;ZH;01.01.2025
Rüti ZH;8630;Dürnten;113;ZH;01.01.2025
Tann;8632;Dürnten;113;ZH;01.01.2025
Dürnten;8635;Dürnten;113;ZH;01.01.2025
Wald ZH;8636;Dürnten;113;ZH;01.01.2025
Hinwil;8340;Fischenthal;114;ZH;01.01.2025
Bauma;8494;Fischenthal;114;ZH;01.01.2025
Steg im Tösstal;8496;Fischenthal;114;ZH;01.01.2025
Fischenthal;8497;Fischenthal;114;ZH;01.01.2025
Gibswil;8498;Fischenthal;114;ZH;01.01.2025
Bertschikon (Gossau ZH);8614;Gossau (ZH);115;ZH;01.01.2025
Mönchaltorf;8617;Gossau (ZH);115;ZH;01.01.2025
Grüt (Gossau ZH);8624;Gossau (ZH);115;ZH;01.01.2025
Gossau ZH;8625;Gossau (ZH);115;ZH;01.01.2025
Ottikon (Gossau ZH);8626;Gossau (ZH);115;ZH;01.01.2025
Grüningen;8627;Gossau (ZH);115;ZH;01.01.2025
Grüningen;8627;Grüningen;116;ZH;01.01.2025
Hinwil;8340;Hinwil;117;ZH;01.01.2025
Wernetshausen;8342;Hinwil;117;ZH;01.01.2025
Gibswil;8498;Hinwil;117;ZH;01.01.2025
Rüti ZH;8630;Rüti (ZH);118;ZH;01.01.2025
Wald ZH;8636;Rüti (ZH);118;ZH;01.01.2025
Aathal-Seegräben;8607;Seegräben;119;ZH;01.01.2025
Fischenthal;8497;Wald (ZH);120;ZH;01.01.2025
Wald ZH;8636;Wald (ZH);120;ZH;01.01.2025
Laupen ZH;8637;Wald (ZH);120;ZH;01.01.2025
Adetswil;8345;Wetzikon (ZH);121;ZH;01.01.2025
Wetzikon ZH;8620;Wetzikon (ZH);121;ZH;01.01.2025
Wetzikon ZH;8623;Wetzikon (ZH);121;ZH;01.01.2025
Zürich;8041;Adliswil;131;ZH;01.01.2025
Adliswil;8134;Adliswil;131;ZH;01.01.2025
Kilchberg ZH;8802;Kilchberg (ZH);135;ZH;01.01.2025
Rüschlikon;8803;Kilchberg (ZH);135;ZH;01.01.2025
Langnau am Albis;8135;Langnau am Albis;136;ZH;01.01.2025
Oberrieden;8942;Oberrieden;137;ZH;01.01.2025
Richterswil;8805;Richterswil;138;ZH;01.01.2025
Samstagern;8833;Richterswil;138;ZH;01.01.2025
Rüschlikon;8803;Rüschlikon;139;ZH;01.01.2025
Gattikon;8136;Thalwil;141;ZH;01.01.2025
Thalwil;8800;Thalwil;141;ZH;01.01.2025
Erlenbach ZH;8703;Erlenbach (ZH);151;ZH;01.01.2025
Erlenbach ZH;8703;Herrliberg;152;ZH;01.01.2025
Herrliberg;8704;Herrliberg;152;ZH;01.01.2025
Grüningen;8627;Hombrechtikon;153;ZH;01.01.2025
Hombrechtikon;8634;Hombrechtikon;153;ZH;01.01.2025
Feldbach;8714;Hombrechtikon;153;ZH;01.01.2025
Forch;8127;Küsnacht (ZH);154;ZH;01.01.2025
