City,PLZ,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,Listing URL,Etage,Objekttyp,Balkon / Terrasse,Lift,Minergie,Aussicht,Garage,Parkplatz,Kinderfreundlich,Swimmingpool,Haustiere erlaubt,complete_address,latitude,longitude,oev_erreichb_ewap,median_einkommen
Aarau,5004,1835,1625,210,4.5,83,"Delfterstr. 25,",https://www.immoscout24.ch/mieten/4001969297,9,Wohnung,True,True,False,True,True,False,True,False,True,"Delfterstr. 25,5004 Aarau",47.39999008178711,8.060616493225098,4454,66069.7
Aarau,5000,1715,1485,230,4.0,80,"General Guisan-Str. 52,",https://www.immoscout24.ch/mieten/4001980187,8,Wohnung,True,True,False,True,True,True,False,False,True,"General Guisan-Str. 52,5000 Aarau",47.37805938720703,8.057112693786621,4842,66069.7
Aarau,5000,2540,2260,280,3.5,128,"Hintere Bahnhofstrasse 81,",https://www.immoscout24.ch/mieten/4001977154,2,Wohnung,False,True,False,False,False,False,False,False,False,"Hintere Bahnhofstrasse 81,5000 Aarau",47.39168548583984,8.055814743041992,12184,66069.7
Aarau,5000,1800,1650,150,2.5,66,"Entfelderstr. 2/4,",https://www.immoscout24.ch/mieten/4001957736,4,Maisonette / Duplex,True,False,False,False,False,False,False,False,False,"Entfelderstr. 2/4,5000 Aarau",47.38876724243164,8.048471450805664,9969,66069.7
Aarau,5000,1455,1210,245,2.5,60,"General Guisan-Str. 52,",https://www.immoscout24.ch/mieten/4001938604,4,Wohnung,True,True,False,False,True,True,False,False,True,"General Guisan-Str. 52,5000 Aarau",47.37805938720703,8.057112693786621,4842,66069.7
Aarau,5000,2180,1930,250,4.0,112,"Gönhardweg 4,",https://www.immoscout24.ch/mieten/4001879743,4,Wohnung,False,True,False,False,True,False,False,False,False,"Gönhardweg 4,5000 Aarau",47.38771438598633,8.050259590148926,6504,66069.7
Aarau,5000,2390,2090,300,2.5,175,"Vordere Vorstadt 13,",https://www.immoscout24.ch/mieten/4001956906,4,Maisonette / Duplex,True,True,False,False,False,False,False,False,False,"Vordere Vorstadt 13,5000 Aarau",47.39118576049805,8.044936180114746,19339,66069.7
Aarau,5000,1660,1420,240,2.5,63,"Dammweg 5,",https://www.immoscout24.ch/mieten/4001997072,0,Wohnung,False,False,True,False,False,True,False,False,True,"Dammweg 5,5000 Aarau",47.38752365112305,8.038883209228516,6090,66069.7
Aarau,5000,1645,1400,245,3.5,78,"Im Käfergrund 43,",https://www.immoscout24.ch/mieten/4001976751,2,Wohnung,True,True,False,False,True,True,True,False,True,"Im Käfergrund 43,5000 Aarau",47.37909698486328,8.05553913116455,4842,66069.7
Aarau,5000,1741,1491,250,3.5,78,"Im Käfergrund 41,",https://www.immoscout24.ch/mieten/4001957734,1,Wohnung,True,True,False,False,True,True,True,False,True,"Im Käfergrund 41,5000 Aarau",47.379241943359375,8.055534362792969,4842,66069.7
Aarau,5000,1495,1255,240,2.5,60,"General Guisan-Str. 52,",https://www.immoscout24.ch/mieten/4001938606,13,Wohnung,True,True,False,True,True,True,False,False,True,"General Guisan-Str. 52,5000 Aarau",47.37805938720703,8.057112693786621,4842,66069.7
Aarau,5004,2290,2010,280,3.5,103,"Rütmattstr. 9,",https://www.immoscout24.ch/mieten/4001876994,14,Attikawohnung,False,False,False,False,True,False,True,False,True,"Rütmattstr. 9,5004 Aarau",47.40047073364258,8.058938980102539,4454,66069.7
Aarau,5000,1490,1290,200,1.5,53,"Kronengasse 5,",https://www.immoscout24.ch/mieten/4001869450,3,Wohnung,False,False,False,False,False,False,False,False,False,"Kronengasse 5,5000 Aarau",47.39297866821289,8.044032096862793,17411,66069.7
Aarau,5000,4871,4331,540,8.5,186,"Buchserstrasse 9/11,",https://www.immoscout24.ch/mieten/4001497208,2,Wohnung,True,True,True,False,False,False,False,False,False,"Buchserstrasse 9/11,5000 Aarau",47.39152145385742,8.059191703796387,13329,66069.7
Aarau,5000,2500,1700,800,6.5,201,"Küttigerstrasse 16,",https://www.immoscout24.ch/mieten/4001827697,2,Wohnung,True,False,False,True,False,True,False,False,False,"Küttigerstrasse 16,5000 Aarau",47.397342681884766,8.040865898132324,2816,66069.7
Aarau,5000,770,720,50,1.0,13,"Gönhardweg 2,",https://www.immoscout24.ch/mieten/4001996207,5,Studio,False,True,False,False,False,False,False,False,False,"Gönhardweg 2,5000 Aarau",47.38783264160156,8.05016040802002,6504,66069.7
Aarau,5000,1730,1440,290,4.5,92,"Tannengut 6,",https://www.immoscout24.ch/mieten/4001895604,3,Wohnung,False,True,False,False,True,True,False,False,False,"Tannengut 6,5000 Aarau",47.40037155151367,8.041600227355957,2816,66069.7
Aarau,5000,2530,2270,260,4.5,103,"Delfterstrasse 15a,",https://www.immoscout24.ch/mieten/4001989987,2,Wohnung,True,True,True,True,True,True,False,False,True,"Delfterstrasse 15a,5000 Aarau",47.39741516113281,8.061342239379883,3828,66069.7
Aarau,5000,2490,2260,230,3.5,128,"Hintere Bahnhofstrasse 83,",https://www.immoscout24.ch/mieten/4001977155,2,Wohnung,False,True,False,False,False,False,False,False,False,"Hintere Bahnhofstrasse 83,5000 Aarau",47.3917236328125,8.05617618560791,12184,66069.7
Aarau,5000,1550,1290,260,3.0,66,"Im Ifang 2,",https://www.immoscout24.ch/mieten/4001938254,3,Wohnung,True,False,False,False,False,False,False,False,False,"Im Ifang 2,5000 Aarau",47.38742446899414,8.037616729736328,6090,66069.7
Aarau,5004,1790,1490,300,3.5,82,"Rütmattstrasse 11,",https://www.immoscout24.ch/mieten/4001985916,1,Wohnung,True,False,False,False,True,True,True,False,False,"Rütmattstrasse 11,5004 Aarau",47.40074157714844,8.058854103088379,4454,66069.7
Aarau,5000,2230,2025,205,2.5,80,"Hintere Bahnhofstrasse 48,",https://www.immoscout24.ch/mieten/4001997505,5,Wohnung,False,True,False,False,True,False,False,False,True,"Hintere Bahnhofstrasse 48,5000 Aarau",47.391075134277344,8.052728652954102,12184,66069.7
Aarau,5004,1710,1500,210,4.5,83,"Delfterstr. 25,",https://www.immoscout24.ch/mieten/4001997059,2,Wohnung,True,True,False,False,True,False,True,False,True,"Delfterstr. 25,5004 Aarau",47.39999008178711,8.060616493225098,4454,66069.7
Aarau,5004,1875,1620,255,4.5,100,"Delfterstr. 39,",https://www.immoscout24.ch/mieten/4001976759,4,Wohnung,True,True,False,False,True,False,True,False,True,"Delfterstr. 39,5004 Aarau",47.40238952636719,8.061711311340332,4454,66069.7
Aarau,5000,1550,1300,250,2.0,51,"Küttigerstrasse 6,",https://www.immoscout24.ch/mieten/4001962980,1,Wohnung,True,False,False,True,False,True,False,False,True,"Küttigerstrasse 6,5000 Aarau",47.39645385742188,8.041365623474121,2816,66069.7
Aarau,5004,810,725,85,1.0,28,"Delfterstr. 28,",https://www.immoscout24.ch/mieten/4001997060,6,Wohnung,True,True,False,False,True,False,True,False,True,"Delfterstr. 28,5004 Aarau",47.40050506591797,8.060701370239258,4454,66069.7
Aarau,5004,2000,1700,300,4.5,100,"Rütmattstrasse 15,",https://www.immoscout24.ch/mieten/4001982591,6,Wohnung,True,True,False,True,True,True,True,False,True,"Rütmattstrasse 15,5004 Aarau",47.401363372802734,8.059009552001953,4454,66069.7
Aarau,5000,3950,3625,325,4.5,124,"Bühlrain 29,",https://www.immoscout24.ch/mieten/4001996556,0,Wohnung,False,True,False,True,True,True,True,False,False,"Bühlrain 29,5000 Aarau",47.38104248046875,8.05661392211914,4842,66069.7
Aarau,5000,3225,2850,375,4.5,113,"Hohlgasse 64,",https://www.immoscout24.ch/mieten/4001876741,0,Wohnung,True,True,False,False,True,True,True,False,False,"Hohlgasse 64,5000 Aarau",47.383934020996094,8.049116134643555,9969,66069.7
Aarau,5000,4200,3800,400,4.5,146,"Hohlgasse 60,",https://www.immoscout24.ch/mieten/4001901601,2,Attikawohnung,True,True,False,False,True,True,False,False,False,"Hohlgasse 60,5000 Aarau",47.38417053222656,8.048873901367188,9969,66069.7
Aarau,5000,1150,1050,100,1.0,22,"Buchserstrasse 4,",https://www.immoscout24.ch/mieten/4001977813,1,Wohnung,True,True,False,True,False,False,False,False,False,"Buchserstrasse 4,5000 Aarau",47.39145660400391,8.05770206451416,13329,66069.7
Aarau,5000,1500,1100,400,3.5,100,"Gysulastrasse 1,",https://www.immoscout24.ch/mieten/4001903538,3,Wohnung,True,False,True,True,False,True,False,False,False,"Gysulastrasse 1,5000 Aarau",47.39710998535156,8.041149139404297,2816,66069.7
