City,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,PLZ/City,Description,Eigenschaften,Hauptangaben,Listing URL
aarau,1’835.–,CHF 1’625.–,CHF 210.–,4.5,"83
m2","Delfterstr. 25,",5004 Aarau,"Wir vermieten im Telli-Quartier folgende attraktive Wohnung:

- Wohnen, Esszimmer und Korridor mit Parkett
- Schlafzimmer mit Parkett
- Bad mit Badewanne
- Grosse Einbauschränke
- Zwei Balkone, einer davon mit Reduit
- Sportmöglichkeiten vorhanden
- Einstellplätze à CHF 100.-/mtl. vorhanden
- Sehr ruhige Lage mit Aussicht ins Grüne
- Einkaufsmöglichkeiten und Bushaltestelle nur 5 Gehminuten entfernt

Fotos können teilweise vom Original abweichen.

Weitere Angebote finden Sie unter dem Link: www.telliportal.ch.

Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme!","Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Garage, Lift","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': '9', 'Wohnfläche:': '83 m2', 'Kubatur:': '199 m3', 'Letztes Renovationsjahr:': '2005', 'Baujahr:': '1976'}",https://www.immoscout24.ch/mieten/4001969297
aarau,1’715.–,CHF 1’485.–,CHF 230.–,4,"80
m2","General Guisan-Str. 52,",5000 Aarau,"Wir vermieten eine attraktive Wohnung mit atemberaubender Aussicht und folgenden Vorzügen:

- Moderne Küche mit Glaskeramikherd und Geschirrspüler
- Wohnbereich mit Parkett
- Küche/Bad mit Platten
- WC/Badewanne
- Zimmer mit Linoleum
- Balkon mit Weitsicht
- Einbauschränke und Reduit
- Ruhige Wohnlage
- Naherholungsgebiet hinter der Liegenschaft
- Bushaltestelle vor dem Haus
- Abstellplatz monatlich CHF 50.-
- Garage monatlich CHF 120.-

Hinweis: Die Bilder stammen von einer anderen Wohnung, der Ausbaustandart ist jedoch derselbe.

Wir freuen uns auf Ihre Anfrage!","Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Parkplatz, Garage, Lift","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4', 'Etage:': '8', 'Wohnfläche:': '80 m2', 'Baujahr:': '1968'}",https://www.immoscout24.ch/mieten/4001980187
aarau,2’540.–,CHF 2’260.–,CHF 280.–,3.5,"128
m2","Hintere Bahnhofstrasse 81,",5000 Aarau,"Per 01.05.2025 oder nach Vereinbarung vermieten wir diese schöne und moderne 3.5-Zimmerwohnung in Aarau.

Die Wohnung bietet Ihnen folgende Annehmlichkeiten:

- Wohn- und Schlafzimmer mit Parkettboden
- Nasszellen und Küche mit dunklem Plattenboden
- Wohnzimmer mit viel Tageslicht und Zugang zum Balkon
- Helle und geräumige Schlafzimmer
- Offene Küche mit Glaskeramikherd, Geschirrspüler, Backofen und ausreichend Stauraum für Ihre Küchenutensilien
- Badezimmer mit WC, Lavabo, Spiegelschrank und Badewanne
- Separates WC mit Lavabo, Spiegelschrank und Dusche
- Eigener Waschturm (Waschmaschine und Trockner)
- Balkon für gemütliche Sonnenstunden
- Eigenes Kellerabteil
- Lift vorhanden
- Veloraum vorhanden

Die Haustierhaltung ist in dieser Liegenschaft erlaubt.

Nach Verfügbarkeit kann ein Einstellplatz für CHF 150.00 pro Monat dazu gemietet werden.

Umgebung:

- Das Stadtzentrum ist bequem zu Fuss erreichbar
- Der Bahnhof liegt unmittelbar hinter der Liegenschaft
- Die Liegenschaft befindet sich unweit von Kantonsspital Aarau entfernt
- Gute Anschlüsse an die Autobahn
- Die Kantonsschule Aarau ist in wenigen Gehminuten erreichbar

Bitte beachten Sie, dass die Bilder als Referenzbilder dienen und vom Original abweichen können.

Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage.",Lift,"{'Verfügbarkeit:': '01.05.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '2', 'Wohnfläche:': '128 m2'}",https://www.immoscout24.ch/mieten/4001977154
aarau,1’800.–,CHF 1’650.–,CHF 150.–,2.5,"66
m2","Entfelderstr. 2/4,",5000 Aarau,"An der Entfelderstrasse 2 in Aarau vermieten wir eine schöne, helle 2½-Zimmer-Attikawohnung. Die Wohnung ist wie folgt ausgesattet:

- Wohn-/ Schlafbereich mit Parkett
- Offene Küche mit Glaskeramikkochherd und Geschirrspüler
- Wohnzimmer mit Cheminéeeofen
- Arbeitsplatte aus Granit
- Modernes Badezimmer mit Wanne
- Gemütlicher Balkon
- Ruhige und gepflegte Umgebung
- Einkaufsmöglichkeiten und Bushaltestelle in der Nähe

Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme!",Balkon / Terrasse,"{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Maisonette / Duplex', 'Anzahl Zimmer:': '2.5', 'Etage:': '4', 'Wohnfläche:': '66 m2', 'Baujahr:': '2000'}",https://www.immoscout24.ch/mieten/4001957736
aarau,1’455.–,CHF 1’210.–,CHF 245.–,2.5,"60
m2","General Guisan-Str. 52,",5000 Aarau,"Wir vermieten per 01.04.2025 oder nach Vereinbarung eine attraktive Wohnung mit Weitsicht und folgenden Vorzügen:

- Moderner Grundriss
- Bodenbeläge: Parkett, Novilon und Platten
- Offene Küche mit Geschirrspüler und Glaskeramik
- Bad mit Wanne
- Gut besonnter Balkon mit Fernsicht
- Ruhige Wohnlage
- Direkt am Waldrand
- Bushaltestelle vor dem Haus
- Abstellplatz monatlich CHF 50.-

Hinweis: Die Bilder können vom Original abweichen. Der Ausbaustandard ist jedoch derselbe.

Wir freuen uns auf Ihre Anfrage!","Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Parkplatz, Garage, Lift","{'Verfügbarkeit:': '01.04.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': '4', 'Wohnfläche:': '60 m2', 'Baujahr:': '1968'}",https://www.immoscout24.ch/mieten/4001938604
aarau,2’180.–,CHF 1’930.–,CHF 250.–,4,"112
m2","Gönhardweg 4,",5000 Aarau,"Wir vermieten diese wunderschöne, im Jahr 2017 sanierte, 4-Zimmerwohnung mit dem folgendem Ausbaustandard:

- ganze Wohnung mit Plattenboden
- Küche mit Glaskeramikherd und Geschirrspüler
- mit Backofen und Steamer
- Badezimmer mit Fenster
- separate Toilette
- sonniger Balkon
- Lift vorhanden

Bei den Bildern handelt es sich um Musterfotos, welche den Ausbaustandard veranschaulichen. Die genaue Raumaufteilung können Sie dem angefügten Grundriss entnehmen.

Eine Garage kann bei Bedarf und Verfügbarkeit für CHF 145.00 pro Monat dazu gemietet werden.

Direkt vor der Liegenschaft befindet sich die Bushaltestelle Buchenhof, welche durch die Buslinien 5 und 7 bedient wird. Der Bahnhof Aarau ist aber auch bequem in einem 10-minütigen Spaziergang erreichbar.

Das schöne Ambiente in der Altstadt von Aarau macht das Einkaufen zu einem besonderen Erlebnis. Ebenfalls finden Sie zusätzlich unzählige Bars und Restaurants.

Die Stadt Aarau hat in puncto Freizeitgestaltung für jeden etwas passendes anzubieten. Sie können zwischen verschiedenen sportlichen Aktivitäten, dem Hallenbad Telli und sogar einer Kunsteisbahn und vielem mehr auswählen.

Die vielfältigen Naherholungsgebiete liegen vor der Haustür. Wege der Aare entlang laden zum Spazieren, Joggen, Biken oder Skaten ein.

Die Wohnung eignet sich auch perfekt für Familien, da sich das Primarschulhaus Gönhard und der Kindergarten Gönhard nur wenige Meter entfernt befinden.

Haben wir Ihr Interesse geweckt?

Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen.

Wir freuen uns auf Ihre digitale Bewerbung nach der Besichtigung.",Lift,"{'Verfügbarkeit:': '01.05.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4', 'Etage:': '4', 'Wohnfläche:': '112 m2', 'Letztes Renovationsjahr:': '2017', 'Baujahr:': '1932'}",https://www.immoscout24.ch/mieten/4001879743
aarau,2’390.–,CHF 2’090.–,CHF 300.–,2.5,"175
m2","Vordere Vorstadt 13,",5000 Aarau,"Erleben Sie urbanes Wohnen in einer exklusiven Loft-/Galeriewohnung auf 2 Ebenen mitten in der Altstadt von Aarau! Die charmante Wohnung im 4. Stock eines historischen Gebäudes besticht durch ihre grosszügige Raumaufteilung und die besondere Atmosphäre, die das Leben auf zwei Etagen bietet.
Wohnungshighlights:
Loft-/Galeriewohnung im 4. Stock
Wohnräume mit viel Charme
Historische Elemente kombiniert mit modernem Komfort
Laube vorhanden – ideal zum Entspannen
Mietkonditionen:
Nettomiete: CHF 2'350.– monatlich
Nebenkosten (Heiz- und Betriebskosten pauschal): CHF 300.– monatlich
Bezug nach Vereinbarung
Die perfekte Wohnadresse für alle, die zentral wohnen und dennoch das Besondere suchen. Lassen Sie sich von der Kombination aus historischem Flair und modernem Wohnen begeistern.
Interessiert? Wir freuen uns auf Ihre Kontaktaufnahme für einen Besichtigungstermin!","Balkon / Terrasse, Geschirrspüler, Kabel-TV, Ruhige Lage, Lift, Altbau","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Maisonette / Duplex', 'Anzahl Zimmer:': '2.5', 'Etage:': '4', 'Anzahl Etagen:': '2', 'Wohnfläche:': '175 m2', 'Raumhöhe:': '3 m', 'Baujahr:': '1999'}",https://www.immoscout24.ch/mieten/4001956906
aarau,1’660.–,CHF 1’420.–,CHF 240.–,2.5,"63
m2","Dammweg 5,",5000 Aarau,"Wir vermieten eine topmoderne 2½-Zimmer-Wohnung ab dem 01.06.2025 oder nach Vereinbarung mit folgenden Vorzügen:

- Bevorzugte Lage Nähe Schachen
- Naherholungsgebiet Aare in Gehdistanz erreichbar
- Bushaltestelle vor dem Haus
- Altstadt fussläufig zu erreichen
- Topmoderner Ausbaustandard
- Ganze Wohnung mit Feinsteinzeug-Platten
- Bad mit geräumiger Dusche
- Waschmaschine/Tumbler in der Wohnung
- Küche mit Geschirrspüler, Kühlschrank und Combi-Steamer mit integrierter Wärmeschublade ( V-Zug)
- Gut möblierbarer Sitzplatz


Bitte beachten Sie, dass es sich bei den Fotos um Beispielbilder einer anderen Wohnung in der selben Liegenschaft handelt.

Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Anfrage!","Haustiere erlaubt, Kabel-TV, Parkplatz, Neubau, Minergie Bauweise, Gedeckt","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': 'EG', 'Wohnfläche:': '63 m2', 'Baujahr:': '2022'}",https://www.immoscout24.ch/mieten/4001997072
aarau,1’645.–,CHF 1’400.–,CHF 245.–,3.5,"78
m2","Im Käfergrund 43,",5000 Aarau,"Suchen Sie eine schöne und helle Wohnung? Dann haben wir die Lösung!

Wir vermieten ein attraktives Zuhause mit folgenden Pluspunkten:

- Moderne, offene Wohnküche mit Granitabdeckung
- Esszimmer halboffen zum Wohnzimmer mit Eichenparkett
- Wohn- & Schlafbereich Eichenparkett
- Nasszellen und Küche mit Feinsteinzeugbodenplatten
- Helles Badezimmer mit Wanne und WC
- Praktisches Gäste-WC
- Grossser, gut besonnter Balkon mit Blick auf den Jura
- Zusätzlicher Balkon beim Schlafzimmer
- Ruhiges Wohnquartier mit Spielplatz
- Naherholungsgebiet direkt vor der Türe
- Quartierladen und ÖV in unmittelbarer Nähe
- Garage CHF 120.-/Monat

Eine Liegenschaft
mit LIVING SERVICES
www.livingservices.ch

Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihren Anruf!","Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Altbau","{'Verfügbarkeit:': '01.05.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '2', 'Wohnfläche:': '78 m2', 'Letztes Renovationsjahr:': '2011', 'Baujahr:': '1963'}",https://www.immoscout24.ch/mieten/4001976751
aarau,1’741.–,CHF 1’491.–,CHF 250.–,3.5,"78
m2","Im Käfergrund 41,",5000 Aarau,"Wir vermieten per 01.06.2025 oder nach Vereinarung ein attraktives Zuhause mit folgenden Vorzügen:

- Moderne, offene Wohnküche mit Granitabdeckung
- Esszimmer halboffen zum Wohnzimmer mit Ausgang auf den grossen nach Süden gerichteten Balkon
- Alle Wohn-/Schlafräume mit Parkett
- Nasszellen und Küche mit Feinsteinzeugbodenplatten
- Helles Badezimmer mit Wanne und WC und Fenster
- Praktisches Gäste-WC
- Zusätzlicher Balkon beim Schlafzimmer
- Ruhiges Wohnquartier mit Spielplatz und in Waldrandnähe
- Quartierladen und ÖV in unmittelbarer Nähe
- Garage in der Einstellhalle für CHF 120.- / Monat

Eine Liegenschaft mit
LIVING SERVICES
www.livingservices.ch

Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme!","Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Lift, Altbau","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '1', 'Wohnfläche:': '78 m2', 'Letztes Renovationsjahr:': '2011', 'Baujahr:': '1963'}",https://www.immoscout24.ch/mieten/4001957734
