City,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,PLZ/City,Description,Eigenschaften,Hauptangaben,Listing URL
Luzern,1’720.–,CHF 1’500.–,CHF 220.–,3.5,"90
m2","Maihofstrasse 36,",6004 Luzern,"Ihre Lage-Vorteile
Das im 2012 erstellte Wohn- und Geschäftshaus befindet sich an der Maihofstrasse 36 in der Stadt Luzern. Diverse Geschäfte (z.B. Coop, Bäckerei) liegen in unmittelbarer Nähe am Schlossberg. Den Rotsee für sportliche Aktivitäten, den Quai am Vierwaldstättersee und den Bahnhof erreichen Sie in wenigen Minuten. Die Bushaltestelle liegt praktisch vor der Haustüre.
So wohnen Sie
Die 3½-Zimmerwohnung besticht durch ein stilvolles, nicht alltägliches Raumkonzept. Der leicht abgewinkelte Korridor verbindet die Küche mit dem Wohnraum und lässt das Licht beidseitig einfallen. Ein Eichen-Parkettboden, matt versiegelt, zieht sich durch die ganze Wohnung. Beide Nassräume bezaubern mit einer exklusiven Kunststeinplatte im mediterranen Stil. Nach innen blickdichte Fassadenmarkisen schützen zudem vor ungewollten Einblicken
Das Haus wird mit einer Gasheizung beheizt und kann über die Bodenheizung individuell reguliert werden. Ein Waschturm sowie eine Komfortlüftung sind vorhanden und sind in einem der Einbauschränke eingebaut.
Die Wohnung eignet sich infolge der optimalen Raumaufteilung gut als WG.","Balkon / Terrasse, Kabel-TV, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Neubau, Minergie Bauweise","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '3', 'Wohnfläche:': '90 m2'}",https://www.immoscout24.ch/mieten/4001989031
Luzern,2’200.–,CHF 2’000.–,CHF 200.–,2.5,"80
m2","Thorenbergstrasse 48,",6014 Littau,"Ihr neues Zuhause im Bodenhofpark, Littau
Willkommen in einem Wohnquartier, das modernes Design und höchsten Komfort miteinander verbindet! Im Herzen von Littau entsteht ein Neubauprojekt, das alles bietet, was Sie sich für ein harmonisches und bequemes Leben wünschen. Ab April 2025 stehen 19 exklusive Mietwohnungen zur Erstvermietung bereit seien Sie von Anfang an dabei!
Wohnkomfort neu definiert:
Vielfältige Wohnungsgrößen: Von gemütlichen 1.5-Zimmer-Wohnungen bis hin zu großzügigen 3.5-Zimmer-Wohnungen hier findet jeder sein ideales Zuhause.
Hochwertige Ausstattung: Moderne Küchen, stilvolle Badezimmer und helle, lichtdurchflutete Räume sorgen für Wohlfühlatmosphäre.
Privater Waschturm in jeder Wohnung: Jede Wohnung verfügt über eine eigene Waschmaschine und einen Trockner für maximalen Komfort.
Nachhaltigkeit im Fokus: Effiziente Energiekonzepte machen Ihr Zuhause umweltfreundlich und zukunftssicher.
Barrierefreiheit: Alle Wohnungen sind rollstuhlgerecht, mit einem Aufzug für maximalen Komfort.
Flexibilität für Ihr Fahrzeug: Sichere Tiefgaragenplätze und Außenparkplätze direkt vor Ort.
Lage, die begeistert:
Beste Verkehrsanbindung: Nur 8 Gehminuten zum Bahnhof Luzern Littau ideal für Pendler und Reisefreudige.
Alles, was Sie brauchen, direkt vor der Tür: Eine Migros-Filiale im Gebäude deckt Ihre täglichen Bedürfnisse.
Erholung in der Nähe: Ruhige Umgebung mit Zugang zu grünen Oasen, Flussnähe und sonnigen Plätzen, die zum Entspannen einladen.
Erfahren Sie mehr:
Das Neubauprojekt Bodenhofpark bietet nicht nur moderne Architektur, sondern auch eine lebendige Nachbarschaft in einem aufstrebenden Quartier.
Besuchen Sie jetzt die Projekt-Website unter www.bodenhof-park-littau.ch, um Grundrisse anzusehen, weitere Details zu entdecken und Ihre Traumwohnung zu reservieren!
Leben im Bodenhofpark starten Sie in ein neues Kapitel ab April 2025!","Haustiere erlaubt, Kabel-TV, Rollstuhlgängig, Parkplatz, Garage, Lift, Bauland erschlossen, Neubau, Minergie zertifiziert, Minergie Bauweise, Stromanschluss, Wasseranschluss, Abwasseranschluss","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Wohnfläche:': '80 m2', 'Baujahr:': '2024'}",https://www.immoscout24.ch/mieten/4001917191
Luzern,3’590.–,CHF 3’140.–,CHF 450.–,4.5,"133
m2","Zihlmattweg 42,",6005 Luzern,"Wir vermieten eine grosszügige 4.5 Zimmer Wohnung im 2012 erstellten Hochhaus Hoch Zwei Allmend.

- Wohnung im Premium-Segment
- Unverbaubare, atemberaubende Aussicht
- Moderner Innenausbau im Minergiestandard
- Bodenbelag in den Wohnräumen: Parkett
- Badezimmer mit keramischen Platten
- Eigener Waschturm
- Ankleide
- Kellerabteil
- Lift
- Einstellhallenplatz kann à CHF 180.– dazugemietet werden

- Hallenbad, Fitnesscenter und Einkaufsmöglichkeiten vor der Haustüre
- Autobahnzufahrt innert 5 Minuten erreichbar
- Bus Nr. 20 direkt vor Ort

Überzeugen Sie sich selbst von dieser einzigartigen Wohnung und vereinbaren Sie noch heute einen Besichtigungstermin. Für ergänzende Auskünfte stehen wir Ihnen gerne zur Verfügung!

Weitere Informationen finden Sie unter http://www.hochzwei-luzern.ch/.

*Die Bilder sind aus der Musterwohnung. Ausbaustandard ist jedoch indentisch.","Haustiere erlaubt, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Minergie Bauweise","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': '24', 'Wohnfläche:': '133 m2', 'Baujahr:': '2012'}",https://www.immoscout24.ch/mieten/4001969286
Luzern,2’100.–,CHF 1’850.–,CHF 250.–,3.5,"77
m2","Moosmattstrasse 44,",6005 Luzern,"An top Lage, vermieten wir diese exklusive 3-Zimmer-Wohnung auf den 1. Juni 2025.
Im Eingangsbereich befindet sich ein geräumiger Einbauschrank mit integrierter Garderobe.
Das grosse Schlafzimmer ist mit einem hochwertigen Parkettboden ausgestattet.
Mit dem Aufzug gelangt sie direkt in die Wohnung.
Die ganze Wohnung wird komplett frisch gestrichen.
Haben wir Ihr Interesse geweckt?
Die Besichtigung finden ohne Voranmeldung bei Frasson & Wiler statt:
Freitag, 07.03. 2025 von 16:00 bis 17:00 Uhr
Montag, 10.03.2025 von 17:30 bis 18:30 Uhr
Dienstag, 11.03.2025 von 16:00 bis 17:00 Uhr
Die Bewerbungsunterlagen können sie unter der folgenden Adresse bis zum 14.03.2025 einreichen:
CSS-Versicherung AG, z. Hd. Nadine Henseler, Tribschenstrasse 21, 6002 Luzern
nadine.henseler@css.ch","Haustiere erlaubt, Balkon / Terrasse, Aussicht, Garage, Lift","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '1', 'Wohnfläche:': '77 m2', 'Baujahr:': '1993'}",https://www.immoscout24.ch/mieten/4001966605
Luzern,810.–,CHF 660.–,CHF 150.–,1,"20
m2","Täschmattstrasse 11,",6015 Luzern,"Wir vermieten per 1.5.2024 diese sehr preiswerte und gemütliche Wohnung in Luzern. Lassen Sie sich von folgenden Vorzügen begeistern:

- Einbauschränke im Korridor
- helles Badezimmer mit Dusche und PVC-Bodenbelag
-Wohn-/ Schlafzimmer mit Lamminatboden
- Waschküche mit flexiblem Waschplan
- Lift vorhanden

Bei den Fotos handelt es sich um Vergleichsbilder einer anderen Wohnung in der Liegenschaft - kleinere Abweichungen sind möglich.

Parkplatzmöglichkeit auf Anfrage.

Haben wir Ihr Interesse geweckt? Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen.","Haustiere erlaubt, Kabel-TV, Parkplatz, Lift","{'Verfügbarkeit:': '01.05.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '1', 'Etage:': '5', 'Wohnfläche:': '20 m2', 'Letztes Renovationsjahr:': '2005', 'Baujahr:': '1966'}",https://www.immoscout24.ch/mieten/4001961224
Luzern,4’900.–,N/A,N/A,3.5,"134
m2","Sempacherstrasse 34,",6003 Luzern,"Hier lässt es sich wohnen
Ihr neues Zuhause befindet sich im lebhaften und aufstrebenden Neustadtquartier, nur wenige Gehminuten vom pulsierenden Luzerner Stadtleben entfernt. Das Quartier hat sich in den letzten Jahren stark entwickelt und ist heute eine sehr beliebte Wohngegend. Nur wenige Gehminuten vom Bahnhof entfernt, an zentralster Lage erreichen Sie zu Fuss, mit dem privaten oder öffentlichen Verkehrsmittel schnell Ihr gewünschtes Ziel.
Diverse Einkaufsmöglichkeiten, ein grenzenloses Dienstleistungsangebot sowie der SBB-Hauptbahnhof, die Altstadt, die Reuss, das KKL oder der Vierwaldstättersee befinden sich in Gehdistanz. Die Wohnlage ist verkehrstechnisch sowohl mit privaten wie mit öffentlichen Verkehrsmitteln sehr gut erschlossen. Zahlreiche VBL-Bushaltestellen mit kurzen Taktzeiten befinden sich in unmittelbarer Nähe und zum SBB-Hauptbahnhof sind es keine 5 Gehminuten. Der Standort lässt in punkto Flexibilität keine Wünsche offen.
Egal wohin es gehen soll: zur Arbeit, zum Einkaufen, zum Essen, zu Freunden, ins Theater, zum Arzt, in die Weinbar – direkt vor der Haustür geht's los!
Ihr neues Zuhause?
Im ""La Perla"" wurden alle Wohnungen komplett erneuert. Die obersten beiden Stockwerke wurden neu ausgebaut und bietet mit vier luxuriös ausgestattete Attikawohnungen fantastischen Wohnraum über den Dächern Luzerns. 
Bei der ca. 133.5 m² grosse Maisonette-Wohnung wurde auf höchste Qualität beim Innenausbau geachtet. Elegante Materialien überzeugen auf Anhieb. Die Küche bietet einiges an topmodernen Geräten. Geschirrspüler, grosser Kühlschrank, zusätzlicher Gefrierschrank, Weinkühler, Glaskeramik mit integriertem Abzug, zwei Combi-Steamer (alle Geräte von Siemens studioLine) passen harmonisch mit den hellen Küchenfronten zusammen.
Der Eingangsbereich der Wohnung befindet sich im 8. Stockwerk und ist bequem mit Lift erschlossen. Hier befindet sich der Wohn- und Essbereich, die Küche, eine Dusche|WC mit Waschturm, sowie ein grosses Zimmer. Auf beide Seiten der Wohnung ist je eine Terrasse angelegt. So geniessen Sie Morgen- wie auch Abendsonne und selbstverständlich sensationelle Aussichten über die gesamte Stadt. Im oberen Stockwerk der Maisonette-Wohnung befinden sich ein grosses Schlafzimmer mit angrenzender Ankleide, sowie ein Master-Bad. Die Ankleide wird mit Einbauschränken ausgestattet und hat ein Oblicht für natürliches Tageslicht. Gleich angrenzend im Master-Bad geniessen Sie Wellness-Feeling mit Badewanne, grosser Dusche, Lavabo, WC. Auch hier erwarten Sie Terrassen auf beiden Seiten.
Eine wahre Traumwohnung mitten in der Stadt und mit Blick über die Dächer Luzerns.
Haben wir Ihr Interesse geweckt? Kontaktieren Sie uns für eine Besichtigung. Der Bezug flexibel ab 1. Februar 2025 oder nach Vereinbarung möglich.
Lassen Sie sich begeistern...
...von der luxuriös ausgebauten Attikawohnung.
Überzeugt?
Sie sind am Ende des Inserates angelangt.
Alles stimmt, aber Sie möchten zuerst Ihre Immobilie verkaufen? Gerne unterstützen wir Sie.
Das Objekt passt zu guten Freunden oder Bekannten? Weitersagen erlaubt!
Nicht Ihr Wunsch-Ergebnis? Auf arlewo.ch profitieren Sie von einem kostenlosen Suchabo.","Balkon / Terrasse, Waschmaschine, Parkplatz, Lift, Neubau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '8', 'Wohnfläche:': '134 m2', 'Baujahr:': '2024'}",https://www.immoscout24.ch/mieten/4001940613
Luzern,1’810.–,N/A,N/A,1.5,"40
m2","Sempacherstrasse 34,",6003 Luzern,"Hier lässt es sich wohnen
Ihr neues Zuhause befindet sich im lebhaften und aufstrebenden Neustadtquartier, nur wenige Gehminuten vom pulsierenden Luzerner Stadtleben entfernt. Das Quartier hat sich in den letzten Jahren stark entwickelt und ist heute eine sehr beliebte Wohngegend. Nur wenige Gehminuten vom Bahnhof entfernt, an zentralster Lage erreichen Sie zu Fuss, mit dem privaten oder öffentlichen Verkehrsmittel schnell Ihr gewünschtes Ziel.
Diverse Einkaufsmöglichkeiten, ein grenzenloses Dienstleistungsangebot sowie der SBB-Hauptbahnhof, die Altstadt, die Reuss, das KKL oder der Vierwaldstättersee befinden sich in Gehdistanz. Die Wohnlage ist verkehrstechnisch sowohl mit privaten wie mit öffentlichen Verkehrsmitteln sehr gut erschlossen. Zahlreiche VBL-Bushaltestellen mit kurzen Taktzeiten befinden sich in unmittelbarer Nähe und zum SBB-Hauptbahnhof sind es keine 5 Gehminuten. Der Standort lässt in punkto Flexibilität keine Wünsche offen.
Egal wohin es gehen soll: zur Arbeit, zum Einkaufen, zum Essen, zu Freunden, ins Theater, zum Arzt, in die Weinbar – direkt vor der Haustür geht's los!
Ihr neues Zuhause?
Im ""La Perla"" wurden 88 Wohnungen komplett erneuert. Pro Etage sind 12 Wohnungen angelegt. Alle Etagen sind mit Lift erreichbar. In den 1-Zimmer-Studios finden Singles, Studierende oder Wochenaufenthalterinnen und Wochenaufenthalter ein gemütliches Zuhause. An lebendiger Citylage wohnt es sich an der Sempacherstrasse am Puls der Zeit. 
Im ca. 40.5 m² grossen Studiotyp L profitieren Sie von einem Reduit (anstatt Kellerabteil) mit Anschlüssen für Waschmaschine und/oder Tumbler. Der Grundriss ist für ein Studio äusserst grosszügig und der funktionale Ausbau schafft Wohnfreude. Ausgestattet ist Ihr neues Zuhause mit einer praktischen Kochnische, einem Trennmöbel in Richtung Wohn- und Schlafraum, Einbauschränken im Eingangsbereich sowie einem eigenen Badezimmer. Falls keine eigene Waschmaschine angeschafft werden möchte, steht allen Mietern die gemeinschaftlichen Wasch- und Trocknungsräume im Untergeschoss zur Verfügung. 
Haben wir Ihr Interesse geweckt? Informieren Sie sich auf der Homepage arlewo.ch/laperla über den Ausbaustandard, die Grundrisse aller verschiedenen Wohnungen sowie Mietpreise. Bewerben können Sie sich bequem online. Der Bezug flexibel ab sofort oder nach Vereinbarung möglich.
Lassen Sie sich begeistern...
...von der Zentrumslage mit optimalen Verkehrsanbindungen.
Überzeugt?
Sie sind am Ende des Inserates angelangt.
Alles stimmt, aber Sie möchten zuerst Ihre Immobilie verkaufen? Gerne unterstützen wir Sie.
Das Objekt passt zu guten Freunden oder Bekannten? Weitersagen erlaubt!
Nicht Ihr Wunsch-Ergebnis? Auf arlewo.ch profitieren Sie von einem kostenlosen Suchabo.","Waschmaschine, Lift, Neubau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Studio', 'Anzahl Zimmer:': '1.5', 'Etage:': '6', 'Wohnfläche:': '40 m2', 'Baujahr:': '2024'}",https://www.immoscout24.ch/mieten/4001940609
Luzern,2’106.–,CHF 1’750.–,CHF 356.–,3.5,"93
m2","Büttenenhalde 60,",6006 Luzern,"Wir vermieten per 01.03.2024 oder 16.03.2025 diese tolle 3 1/2-Zimmerwohnung, welche folgendes zu bieten hat:
halb offene Küche (mit Geschirrspüler)
Alle Zimmer mit Parkettböden
Badezimmer mit Badewanne
Balkon
Reduit
Einbauschrank
Kellerabteil
Lift vorhanden

 Bushaltestelle in unmittelbarer Nähe.

Bitte beachten Sie, dass es sich um Beispielbilder handelt, welche den Ausbaustandard einer vergleichbaren Wohnung in der Liegenschaft präsentieren.

Wir freuen uns auf Ihre Kontaktaufnahme.",,"{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '4', 'Wohnfläche:': '93 m2', 'Baujahr:': '1996'}",https://www.immoscout24.ch/mieten/4001897995
Luzern,965.–,N/A,N/A,3.5,"15
m2","Bruchstrasse 4,",6003 Luzern,"Verfügbare Zimmer in einer Wohngemeinschaft in Luzern ab sofort.
Merkmale des zu vermietenden Zimmers:
Fläche des Zimmers: 15,1 m²
Nettomiete: CHF 715.-
Nebenkosten: CHF 250.-
Gesamtmiete: CHF 965.-
Verfügbarkeit: Zimmer ab sofort verfügbar.
Merkmale der Wohnung:
Lage: Bruchstrasse, 6003 Luzern, Schweiz
Wohnfläche: 89 m²
Baujahr: 2012
Etage: 4. Stock
Moderne Aufteilung: Großer Wohn-/Essbereich von 42,7 m²
Zimmer:
Zimmer 1 (belegt): 13,3 m²
Zimmer 2: 15,1 m² (verfügbar zur Untermiete)
Helligkeit: Innenraum mit großen Fenstern, die reichlich natürliches Licht bieten
Ausrichtung: Doppelte Ausrichtung für optimale Luft- und Lichtzirkulation
Küche: Voll ausgestattete Küche
Stauraum: Abstellraum inklusive
Waschküche: Gemeinsamer Waschraum
Aufzug: Zugang per Aufzug
Annehmlichkeiten in der Nähe:
Supermärkte: Drei Supermärkte innerhalb von 2 Gehminuten (Aldi, Migros und Coop)
Öffentliche Verkehrsmittel: Einfacher Zugang zu öffentlichen Verkehrsmitteln
Altstadt: Nähe zur Altstadt","Lift, Neubau, Altbau","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Einzelzimmer', 'Anzahl Zimmer:': '3.5', 'Etage:': '4', 'Wohnfläche:': '15 m2', 'Baujahr:': '2012'}",https://www.immoscout24.ch/mieten/4001905695
Luzern,2’405.–,CHF 2’220.–,CHF 185.–,3,"75
m2","Hallwilerweg 14,",6003 Luzern,"Diese frisch sanierte 3.5-Zimmerwohnung bietet Ihnen modernen Wohnkomfort in bester Lage. Die helle und grosszügige Wohnung verfügt über:

Parkettboden: Hochwertiger Bodenbelag in allen Zimmern
Moderne offene Küche: Mit Geschirrspüler und Granitabdeckung
Helle Zimmer: Freundliche und lichtdurchflutete Räume
Eigener Waschturm: Waschmaschine und Trockner in der Wohnung
Balkon: Platz für entspannte Stunden im Freien

Lage:
Die Wohnung befindet sich zentral in der Stadt Luzern, nur wenige Gehminuten vom Bahnhof entfernt. Die Gegend bietet zahlreiche Einkaufsmöglichkeiten, Restaurants und Freizeitangebote, die das Leben in Luzern besonders attraktiv machen.

Besichtigung:
Haben wir Ihr Interesse geweckt? Vereinbaren Sie noch heute einen Besichtigungstermin und überzeugen Sie sich selbst von dieser traumhaften Wohnung!

Kontakt:
Für weitere Informationen oder zur Vereinbarung eines Besichtigungstermins, kontaktieren Sie uns bitte unter: Sevla Hadzic 041 418 50 48",,"{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3', 'Etage:': '6', 'Wohnfläche:': '75 m2'}",https://www.immoscout24.ch/mieten/4001906844
