City,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,PLZ/City,Description,Eigenschaften,Hauptangaben,Listing URL
Zurich,4’350.–,,,4.5,"115
m2","Weidmannstrasse 13,",8046 Zürich,"Moderne und wunderschöne 4.5-Zimmerwohnung mit grosszügigem Garten ab dem 01.06.2025 oder nach Vereinbarung zu vermieten. Der Bahnhof Zürich-Affoltern ist in rund 5 Gehminuten zu erreichen, die nächste Bushaltestelle ist nur wenige Schritte entfernt. Im Quartier gibt es etliche Einkaufsmöglichkeiten, und der Kindergarten sowie die Primarschule sind in unmittelbarer Nähe.
Die Wohnung ist in einem gehobenen Eigentumsstandard gebaut und sehr gepflegt.
Das Raumprogramm dieser schönen Wohnung:
alle Bodenbeläge sind in amerikanischem Nussbaumparkett ausgeführt
grosszügiger und sehr heller Wohn- und Essbereich
Küche mit grosser Kochinsel und viel Stauraum
moderne Küche inklusive Backofen/Mikrowelle, integrierter Kaffeemaschine, Steamer, grossem Kühlschrank inkl. Tiefkühler. Alle Geräte sind sehr hochwertig und von der Marke V-Zug oder Bosch.
mehrere Einbauschränke bieten viel Stauraum
drei grosszügige Schlafzimmer mit grossen Fenstern
alle Fenster sind mit elektrisch bedienten Lamellenstoren ausgestattet
ein Badezimmer mit Badewanne, Lavabo und WC
eine Dusche mit grossem Lavabo und WC
eigener Waschturm ist in der Nasszelle vorhanden
grosszügige Loggia von ca. 26 m²
grosszügiger Garten inkl. Sitzplatz von ca. 100 m². Der Garten ist eingezäunt und bietet Privatsphäre
ein grosser Kellerabteil ist inklusive
grosser Trocknungsraum und Veloraum vorhanden
Zur Wohnung können bis zu zwei Parkplätze in der Tiefgarage für je CHF 160.- gemietet werden. Mindestens ein Parkplatz muss übernommen werden.
Die Wohnung erfüllt alle Annehmlichkeiten der Grossstadt, dennoch profitieren Sie von einer ruhigen, ländlichen Umgebung. Die Naherholungszone Katzensee lädt zu idyllischen Spaziergängen, Sport oder Naturfreude ein.
BITTE: Keine Makleranfragen / Vermittler","Balkon / Terrasse, Waschmaschine, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift","{'Verfügbarkeit:': 'Sofort', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '4.5', 'Etage:': 'EG', 'Wohnfläche:': '115 m2', 'Letztes Renovationsjahr:': '2023', 'Baujahr:': '2010'}",https://www.immoscout24.ch/mieten/4001972648
Zurich,2’410.–,CHF 2’280.–,CHF 130.–,1.5,"45
m2","Anna-Heer-Strasse 12,",8057 Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. 
Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.
Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus:
1.5 bis 4.5-Zimmer-Mietwohnungen
Hochwertige Ausstattung und durchdachte Grundrisse
Harmonisches Farb- und Materialkonzept
Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005)
Umweltfreundliche Bauweise nach energieeffizienten Standards
E-Mobility & Carsharing-Konzept
Bezug ab Juni & Juli 2025  
Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich:
Nahe an Erholungsgebieten und der Zürcher Innenstadt
Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz
Gute Erreichbarkeit von Ausbildungsstätten
Vielfältiges Kultur- und Freizeitangebot  
Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.
Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung.","Balkon / Terrasse, Waschmaschine, Lift, Neubau","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '1.5', 'Etage:': 'EG', 'Wohnfläche:': '45 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001986666
Zurich,3’430.–,CHF 3’200.–,CHF 230.–,3.5,"79
m2","Anna-Heer-Strasse 12,",8057 Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. 
Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.
Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus:
1.5 bis 4.5-Zimmer-Mietwohnungen
Hochwertige Ausstattung und durchdachte Grundrisse
Harmonisches Farb- und Materialkonzept
Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005)
Umweltfreundliche Bauweise nach energieeffizienten Standards
E-Mobility & Carsharing-Konzept
Bezug ab Juni & Juli 2025  
Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich:
Nahe an Erholungsgebieten und der Zürcher Innenstadt
Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz
Gute Erreichbarkeit von Ausbildungsstätten
Vielfältiges Kultur- und Freizeitangebot  
Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.
Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung.","Balkon / Terrasse, Waschmaschine, Lift, Neubau","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': 'EG', 'Wohnfläche:': '79 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001974802
Zurich,3’360.–,CHF 3’130.–,CHF 230.–,3.5,"78
m2","Anna-Heer-Strasse 16,",8057 Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. 
Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.
Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus:
1.5 bis 4.5-Zimmer-Mietwohnungen
Hochwertige Ausstattung und durchdachte Grundrisse
Harmonisches Farb- und Materialkonzept
Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005)
Umweltfreundliche Bauweise nach energieeffizienten Standards
E-Mobility & Carsharing-Konzept
Bezug ab Juni & Juli 2025  
Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich:
Nahe an Erholungsgebieten und der Zürcher Innenstadt
Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz
Gute Erreichbarkeit von Ausbildungsstätten
Vielfältiges Kultur- und Freizeitangebot  
Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.
Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung.","Balkon / Terrasse, Waschmaschine, Lift, Neubau","{'Verfügbarkeit:': '01.07.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '3.5', 'Etage:': '1', 'Wohnfläche:': '78 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001974749
Zurich,3’090.–,CHF 2’890.–,CHF 200.–,2.5,"66
m2","Anna-Heer-Strasse 14,",8057 Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. 
Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.
Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus:
1.5 bis 4.5-Zimmer-Mietwohnungen
Hochwertige Ausstattung und durchdachte Grundrisse
Harmonisches Farb- und Materialkonzept
Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005)
Umweltfreundliche Bauweise nach energieeffizienten Standards
E-Mobility & Carsharing-Konzept
Bezug ab Juni & Juli 2025  
Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich:
Nahe an Erholungsgebieten und der Zürcher Innenstadt
Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz
Gute Erreichbarkeit von Ausbildungsstätten
Vielfältiges Kultur- und Freizeitangebot  
Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.
Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung.","Balkon / Terrasse, Waschmaschine, Lift, Neubau","{'Verfügbarkeit:': '01.06.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': 'EG', 'Wohnfläche:': '66 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001923964
Zurich,515.–,,,1.5,"24
m2","Siewerdtstrasse 75,",8050 Zürich,"📢 Buche für ein Jahr und erhalte den 12. Monat gratis!
⏳ Nur für kurze Zeit! Die ersten 15 Apartments, die für 52 Wochen gebucht werden, profitieren von dieser exklusiven Aktion.
🔖 Angebotsdetails:
Buche für 52 aufeinanderfolgende Wochen und erhalte den letzten Monat kostenlos.
Angebot gültig für Buchungen bis zum 31. März 2025 oder solange der Vorrat reicht.
Exklusiv für City Pop Zürich Oerlikon Central, Siewerdtstrasse 75, 8050 Zürich.
Nicht übertragbar und nur für die erste Buchung gültig.
Die Buchung muss durchgehend und ohne Unterbrechung erfolgen.
Nicht in Bargeld oder andere Rabatte umwandelbar.
Wird die Buchung unterbrochen oder storniert, verfällt das Angebot.
Der Kunde zahlt alle monatlichen Gebühren, außer für den letzten Monat, der kostenlos ist.
🚀 Jetzt schnell sein! Dieses Angebot gilt nur für eine begrenzte Anzahl an Apartments!
Neu eröffnung! Ab dem 13.03. bieten wir zentral gelegene Apartments im Gebäude City Pop Zurich Oerlikon Central an der Siewerdtstrasse 73, 8050 Zürich an, die zwischen 24 und 70 Quadratmeter gross sind. Ab 515 CHF/Woche können Sie aus verschiedenen Pop-Typen wählen: Pop M, L, Pop 2.5
Die beigefügten Bilder stammen aus anderen City Pop Apartments und sind als repräsentativ zu betrachten. Die Möblierung ist gleich, das Layout könnte variieren.
Diese möblierten Apartments bieten ein authentisches Wohnerlebnis. Da die Bauarbeiten noch im Gange sind, stehen uns noch keine Originalfotos zur Verfügung.
So buchen Sie Ihr Apartment:
Laden Sie einfach unsere App herunter:
Für iOS: Suchen Sie nach City Pop im App Store.
Für Android: Suchen Sie nach City Pop im Google Play Store.
Nach der Installation der App erstellen Sie ein Konto und navigieren Sie zum Suchbereich. Folgen Sie diesen Schritten:
Wählen Sie ""Suchen und Jetzt Buchen!""
Wählen Sie Zürich als Ihre Stadt.
Setzen Sie Ihre gewünschten Check-in- und Check-out-Daten.
Die Apartments sind vollständig ausgestattet, einschließlich:
Küche, Wohnzimmer, Schlafzimmer und Bad.
Vollständiges Inventar für die Küche (Teller, Gläser, Töpfe usw.).
Schlafbereich und Bad (mit Handtuchset).
Nebenkosten inklusive.
Wi-Fi und Smart TV.
Die Pop Apartments können für einen Mindestzeitraum von 4 Wochen gebucht werden. Zudem wird eine breite Palette von Standard- und Zusatzdiensten verfügbar sein, die über die City Pop App aktiviert werden können, darunter:
Reinigungsservice (wöchentlich, zweiwöchentlich).
Parkplatz.
Das Gebäude wird auch über fantastische Gemeinschaftsräume verfügen, darunter:
Co-Living-Bereiche.
Garten.
Es ist so einfach wie ein Hotelzimmer zu buchen! Die Reservierungen sind jetzt geöffnet! Worauf warten Sie noch? Buchen Sie jetzt Ihren Aufenthalt im City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zürich!
Wenn Sie Fragen haben oder weitere Informationen benötigen, zögern Sie bitte nicht, uns unter contact.ch@citypop.com zu kontaktieren. Unser Team steht Ihnen gerne zur Verfügung.
____________________________________________________________________
ENG
📢 Book for one year and get the 12th month free!
⏳ Limited availability! Only the first 15 apartments booked for 52 weeks will benefit from this exclusive promotion.
🔖 Offer Details:
Book for 52 consecutive weeks and get the last month free.
Offer valid for bookings made by March 31, 2025, or until sold out.
Exclusive to City Pop Zürich Oerlikon Central, Siewerdtstrasse 75, 8050 Zürich.
Non-transferable and valid only for the first booking.
The booking must be continuous and without interruption.
Not convertible into cash or other discounts.
If the booking is interrupted or canceled, the offer becomes void.
The customer pays all monthly fees except for the last one, which is free.
🚀 Hurry up! This offer is available for a limited number of apartments!
City Pop Zurich Oerlikon Central - The flexible solution for short and long stays that makes you feel at home.
Newly opening! Starting from March 13, we offer centrally located apartments at City Pop Zurich Messe, Siewerdtstrasse 73, 8050 Zurich, ranging from 24 to 70 square meters. From 515 CHF/week, you can choose from various Pop types: Pop M, L, Pop 2.5.
The attached images are from other City Pop apartments and are to be considered representative. The furnishings are the same, but the layout may vary.
These furnished apartments provide an authentic living experience. As construction is still ongoing, we do not yet have original photos.
How to book your apartment:
Simply download our app:
For iOS: Search for City Pop in the App Store.
For Android: Search for City Pop in the Google Play Store.
Once the app is installed, create an account and navigate to the search section. Follow these steps:
Select ""Search and Book Now!""
Choose Zurich as your city.
Set your desired check-in and check-out dates.
The apartments are fully equipped, including:
Kitchen, living room, bedroom, and bathroom.
Complete kitchen inventory (plates, glasses, pots, etc.).
Sleeping area and bathroom (with towel set).
All utilities included.
Wi-Fi and Smart TV.
Pop apartments can be booked for a minimum period of 4 weeks. Additionally, a wide range of standard and additional services will be available, activated via the City Pop app, including:
Cleaning service (weekly, bi-weekly).
Parking.
The building will also feature fantastic communal spaces, including:
Co-living areas.
Garden.
It’s as simple as booking a hotel room! Reservations are now open! What are you waiting for? Book your stay at City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zurich, now!
If you have any questions or need further information, please do not hesitate to contact us at contact.ch@citypop.com. Our team is here to assist you.","Geschirrspüler, Ruhige Lage, Parkplatz, Garage, Lift","{'Verfügbarkeit:': '13.03.2025', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '1.5', 'Wohnfläche:': '24 m2', 'Letztes Renovationsjahr:': '2025'}",https://www.immoscout24.ch/mieten/4001964230
Zurich,2’340.–,CHF 2’170.–,CHF 170.–,1.5,"53
m2","Badenerstrasse 686,",8048 Zürich,"Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.
Das von den renommierten Basler Architekten Herzog & de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. 
Die 1.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus:
Hochwertiger Ausbau im Eigentumsstandard
Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler
Wohn-/Schlafzimmer mit Eichenparkett
Dusche/WC
Fussbodenheizung
exklusiver Zugang zur Gemeinschaftsterrasse
Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. 
Haben wir Ihr Interesse geweckt?
Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen.","Haustiere erlaubt, Geschirrspüler, Tumbler, Lift, Neubau","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '1.5', 'Etage:': '4', 'Wohnfläche:': '53 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001905371
Zurich,2’930.–,CHF 2’690.–,CHF 240.–,2.5,"75
m2","Badenerstrasse 682,",8048 Zürich,"Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.
Das von den renommierten Basler Architekten Herzog & de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. 
Die 2.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus:
Hochwertiger Ausbau im Eigentumsstandard
Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler
Wohn- und Schlafzimmer mit Eichenparkett
Dusche/WC
Balkon/Loggia
eigener Waschturm in der Wohnung
Fussbodenheizung
Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. 
Haben wir Ihr Interesse geweckt?
Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen.","Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Waschmaschine, Tumbler, Lift, Neubau","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': '4', 'Wohnfläche:': '75 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001905219
Zurich,3’150.–,CHF 2’890.–,CHF 260.–,2.5,"82
m2","Badenerstrasse 682,",8048 Zürich,"Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.
Das von den renommierten Basler Architekten Herzog & de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. 
Die 2.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus:
Hochwertiger Ausbau im Eigentumsstandard
Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler
Wohn- und Schlafzimmer mit Eichenparkett
Dusche/WC
Balkon/Loggia
eigener Waschturm in der Wohnung
Fussbodenheizung
Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. 
Haben wir Ihr Interesse geweckt?
Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen.","Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Waschmaschine, Tumbler, Lift, Neubau","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': '4', 'Wohnfläche:': '82 m2', 'Baujahr:': '2025'}",https://www.immoscout24.ch/mieten/4001905196
Zurich,3’950.–,CHF 3’630.–,CHF 320.–,2.5,"100
m2","Segnesstrasse 14,",8048 Zürich,"Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.
Das von den renommierten Basler Architekten Herzog & de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. 
Die 2.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus:
Hochwertiger Ausbau im Eigentumsstandard
Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler
Wohn- und Schlafzimmer mit Eichenparkett
Dusche/WC
grosszügige Aussenfläche (Sitzplatz)
eigener Waschturm in der Wohnung
Fussbodenheizung
Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. 
Haben wir Ihr Interesse geweckt?
Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen.","Haustiere erlaubt, Balkon / Terrasse, Geschirrspüler, Waschmaschine, Tumbler, Garage, Lift, Neubau","{'Verfügbarkeit:': 'Nach Vereinbarung', 'Objekttyp:': 'Wohnung', 'Anzahl Zimmer:': '2.5', 'Etage:': 'EG', 'Wohnfläche:': '100 m2', 'Baujahr:': '2024'}",https://www.immoscout24.ch/mieten/4001860600
